previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: あとですね、アナゴも大変有名でございますがー,オペレーター: アナゴ、アナゴもお好きですか？,カスタマー: アナゴも、好きですねー。
オペレーター: 一応じゃ、説明だけさせていただいてよろしいですか？,オペレーター: 富良野の―、ワイン貯蔵の拠点となるー、きよみずやまとよむんですかね、しみずやま、富良野、ぶどう、がー、お、ぶどうヶ丘公園として整備され、ワイン工場と、ワインハウスの間に、ラベンダー園がある、ワインハウスでの、お食事を兼ねて出かけてみるのも楽しいと書かれているんですけども、ふらのぶど、ぶどうヶ丘、公園、ラベンダー園とゆう風になっております。,カスタマー: そこはお食事も出来るんですか？
オペレーター: 場所、あるかお調べしますね。,オペレーター: お客様例えばー、新千歳空港ですとー、ポケモンストアっていうのもあるんですけどー,カスタマー: 子供はー、いないので。
オペレーター: お昼は2000円から1万円ぐらいでして。,オペレーター: 夜は1万円以上になっております。,カスタマー: じゃやっぱりそうですね、夜がすごいちゃんとした、料理があって、それをお昼だったらなんていうんでしょう、や、ちょっとこう安めに食べられるというか、
オペレーター: 11時から夜の11時まで。,オペレーター: やっておりますので。,カスタマー: みそラーメンですかね？北海道は。フフフフ。
オペレーター: こび、コビトガカバ。,オペレーター: カピバラもいますね。,カスタマー: いた？
オペレーター: 和食で絞りますと、結構お鍋のお店が多いみたいですよ。,オペレーター: ほんと、普通に、和食の、定食屋さんみたいなところでしたりとか、ございますね。,カスタマー: お鍋って、どんな感じのお鍋のお店が、多いんですかね？
オペレーター: でこちらですね、お茶をすることもできまして、コーヒーがとても美味しいと書かれております。,オペレーター: でこちら、月曜日がお休みなんですけれども、朝10時から夕方5時までやっておりますので、立ち寄るのもよろしいかなと思います。,カスタマー: 今言う、おし、言ってた場所っていうのは。
オペレーター: いかがでしょうか？,オペレーター: 何か、ご質問とかありますか？,カスタマー: これで旅行、満喫にしたいです。
オペレーター: 皮のー、竹の皮で包んだ栗蒸し羊羹が、大粒な、ぎ、栗が、ぎっしり入ってるっていうかざ、形で、すごく美味しそうな写真が出てるんですけど、こういったものは、お好きですか？,オペレーター: お土産にいかがですか？,カスタマー: 大好きです。
オペレーター: そういったところ、見たいですか？,オペレーター: はい、じゃ、ちょっと調べてみますね。,カスタマー: あと、動物園とかある？
オペレーター: あはは。,オペレーター: どうぞ。,カスタマー: こちらのお店の価格帯はどのくらい<>高そうなのかなって思ったんですけど。
オペレーター: あと島野菜を炭火で炙った感じのお料理が中心みたいんなんですけども、こういったお料理は。,オペレーター: そうですね。お子様向けでもう一度検索してみますね。,カスタマー: あんまり大人っぽすぎる雰囲気だとちょっと浮いちゃうかなと思って。
オペレーター: おそらくご覧になれる場所としては、この辺は多分<>なんですけれども。,オペレーター: さようでございます。,カスタマー: なるほど。面白そう。妹はもしかしてそちらの方がー、キラキラしたシネコンよりもー、そちらの方が好きかもなのでー。
オペレーター: 工芸品もございます。,オペレーター: <>だから、なんでもあるみたいですね、家具もあるって書いてあります。,カスタマー: じゃ、そこに行けば一通り、見たいものは見れそうな気がしますね、他の<>
オペレーター: どう。,オペレーター: かき氷はあんまり…すか。,カスタマー: すごいー好きですよー。かき氷。<>。
オペレーター: 乗ってみたいですか？,オペレーター: 私も乗ってみたいです。フフ。ここ、すごい面白そうですね。,カスタマー: 乗ってみたいです。
オペレーター: お酒、ぜん、ごはん、食べ物だけっていうことですよね。,オペレーター: 今の所とー、あと、すき焼きとか。,カスタマー: 良いですね。
オペレーター: ていう地酒、せんっていうお店があって。,オペレーター: お車なんでお酒は飲めないと思うんですけど、一応。,カスタマー: 食べるとしたらもう夜ですよね。
オペレーター: 焼けてしまう…。,オペレーター: ているのーでー、今はどういう感じになってるのかわからないんですけどー。,カスタマー: たしかにそれを見てー、何もなくなっ…たー…。
オペレーター: このなかでなんか特に気になったものってありますか？,オペレーター: 竹酔亭、一応、稲佐山と、稲佐山公園とちゃんぽんと、竹酔亭って形ですかね、特に気になる。,カスタマー: そうですね、その流れはやっぱり、うん。
オペレーター: そうですね。はい。寄せ鍋みたいな感じです。,オペレーター: 寄せ鍋でございます。,カスタマー: 寄せ鍋ね、あ
オペレーター: であれば、お勧めのお店があるんですけれども。,オペレーター: 保よしさんっていうお店があるんですけれども、こちらはいかがでしょうか？郷土料理になりましてー、しゃぶしゃぶとか、あと、え、越後のもち、もち豚鍋というのがございます。,カスタマー: 郷土料理。
オペレーター: しゃ、写真見せると説明しやすいんですけど、海沿いにある公園てゆーか、に、なってて。,オペレーター: 結構、お探ししてる、感じの場所に近いんじゃないかなと思うんですけど。,カスタマー: そうですね、ありですね。
オペレーター: ここは、て、日帰りであれば450円で、9時から21時まで利用できます。,オペレーター: 結構、と、泊まると高いですね。,カスタマー: 19000円。うん、
オペレーター: はい。,オペレーター: あと、トキとかライチョウとかもいてー、ふれあいタイム、みたいのもあって、触ることができるっぽい感じのことが書いて…。,カスタマー: おおおお。
オペレーター: はっと鍋、っていう名前だそうでしてー、,オペレーター: こちらお名前の方は聞いたことあります<>,カスタマー: いや、ない、ですー。
オペレーター: もしくはー、松前藩の屋敷とか、もありま<>,オペレーター: ありますか？,カスタマー: はい。なんか
オペレーター: どちらがよろしいか、あるいは全部もあるか。,オペレーター: それとも二つぐらい選んでみるかいかがでしょうか？,カスタマー: がいいかななんて思ったんですけど。
オペレーター: 越後湯沢ですと、魚沼とかも近くて、ご飯もおい…。,オペレーター: 魚沼。,カスタマー: 駅？
オペレーター: その屋我地島に行かれるようなパターンにするか。,オペレーター: あるいはもうビーチに滞在なさるか、お客様いかがでしょうか。,カスタマー: 気になるのが滝。沖縄に滝というものがある。
オペレーター: 瀬長島が一番よろしいかと思います。申し訳ございません。,オペレーター: すいません。,カスタマー: 夜景がきれいで有名なんですね？
オペレーター: 恐らく多分そうだと思、か、書かれておりますね。世界的にも活躍するパティシエの、方で。,オペレーター: 加賀野菜や能登ミルクを使ったスイーツだそうで。,カスタマー: やさ…。
オペレーター: ンフ、そうですね。,オペレーター: じゃ、お土産とは別にこちらで甘いものをいただくということで、一応メモに残しておきましょうか、こちら。,カスタマー: 確かに、持って、買って帰って自分だけホテルで食べるっていうのもありですからね。
オペレーター: 市場直送の、魚介類も揃えてるんで。,オペレーター: 例えば…、お肉、メインでお肉、ちょっとサイドメニューでお魚？、鉄板焼きなので、なんだろうな。,カスタマー: そっか。
オペレーター: 一応、お値段帯とかもお伝えしたほうがよろしいでしょうか？,オペレーター: <>じゃ、夕食がー、5000円から1万円ほどとゆう感じですが、大丈夫でしょうか？,カスタマー: 両親に払ってもらうので。
オペレーター: どうでしょうお客様今の話を聞きまして、先ほどのものとどちらが良いと思いましたか？,オペレーター: ええ,カスタマー: 秘伝の何とかっていう感じで
オペレーター: 一応コース予約なんかもできる、ので、もしかしたら予約とかされてー、行った方が、確実なのかなとゆう、気がしますね。,オペレーター: もしよろしければ、お電話番号など、お伝えいたしましょうか？,カスタマー: すいません、ちょっとメモ用意してもいいです<>？
オペレーター: どうでしょうか。お客様何かものとして残るような場所がいいか、あるいは食べ物お買い求めになるか。,オペレーター: 食べ物でしたら、やはり長崎、カステラが結構お店多いみたいですね。,カスタマー: ものだと何かございますか？
オペレーター: 和食全般ですね。,オペレーター: せんべい汁ってご存じですか?,カスタマー: 知ってます、せんべい汁、南部せんべいが入ってるやつですよね。
オペレーター: そうですよね。いいですよね、こちらね。,オペレーター: 踊り？アイヌの伝統儀式とか踊りを通じて、アイヌ文化の継承に、つ、努めているって書いてありますね。,カスタマー: まさにですね、フフフ。
オペレーター: 目の前にヨットハーバー、海が広がる絶景露天風呂。,オペレーター: フフ。となっ…。,カスタマー: 山のほうにあるみたいな鉱物質の温泉じゃなくて、もうちょっと、ミネラル質なんですね。
オペレーター: お待たせいたしました。例えばなんですけれども、鳥取県の方に…。,オペレーター: ございます温泉地がございまして…で、こちら江戸末期総業のところではあるんですけれども、立ち寄り温泉となっているんですけれども、ご興味ありますか？,カスタマー: 鳥取とかはほとんど行ったことも聞いたこともないようなところなので、興味がないわけではないので、
オペレーター: で、ただここちょっと閉まるのが早くて、夜8時までなんですね。,オペレーター: ですので、もうちょっと遅いところも見てみましょうか。,カスタマー: ひとつぐらいなんか聞いておきたいなって気持ちもするんですけど。
オペレーター: これかな、黒豚料理あぢもりですね。,オペレーター: いいですね、黒豚づくりの一日という、<>。,カスタマー: そうですね、<>。
オペレーター: じゃあ、今、ちゃんぽん、井出ちゃんぽんさんと、こちらの北浜温泉をメモしてるんですが、漏れってありました？今までの。,オペレーター: 長崎の、あ、ちょっとお待ちください。,カスタマー: イヤセヤマでしたっけ、イナサヤマだった気がする。
オペレーター: 両方行きますか？,オペレーター: では、お客様、どちらかになさるとしたら、どっちがよろしいでしょうか？,カスタマー: まだ2個目を聞いてないので、うかがってから、き、決めてもいいですか？
オペレーター: サンポウロクでございますね。,オペレーター: お客様…,カスタマー: 方角の方にー、
オペレーター: 法善寺焼きっていうのをお召し上がりいただくのも記念にはなりますし、それかぽんぽこ亭の方でですね、,オペレーター: 海のごっちゃ焼きを食べるのも、名前だけで大阪なんで楽しそうになってくるんですけれども。,カスタマー: そうですよね。どっちも捨てがたいんですが、ごっちゃ焼きって<>そうおっしゃったみたく、ごっちゃ焼きって大阪って感じがするので、
オペレーター: こちらがですね、桜の名所となっておりましてー、場所、場所がですね。,オペレーター: 三重県の伊勢、という所にございます。,カスタマー: 伊勢、
オペレーター: 雪見温泉いいですねー、雪見温泉ということはやっぱり北海道、東北地方でお調べするのがよろしいですかね？,オペレーター: 北海道いいですね、お客様どうして北海道がよいと思われたんですか？,カスタマー: のんびりしてていいなーと思って。
オペレーター: <>はまだまだ沢山ございますので、,オペレーター: 次のものをご案内してもよろしいですか？,カスタマー: おねがいします、
オペレーター: こちらのお店で。,オペレーター: 能登牛、牛ですね、能登牛のステーキ。,カスタマー: 能登、の、能登の牛。
オペレーター: それって、公開されてるんですか？,オペレーター: フフッフ。,カスタマー: ハッハッハ。
オペレーター: 風景地のうち、つつじが丘及び天神の句と、書かれておりまして。,オペレーター: 奥の細道に馴染みのある、公園みたいですね。,カスタマー: でも、桜だと、やっぱり、早すぎるかな、寒梅が観えるところってありますかね?
オペレーター: 前者？,オペレーター: 貸切。,カスタマー: 豚なのかって感じですけどね。フッフッ。
オペレーター: 庭園、どちらかと言うと、テーマパークのような…フードコート的な感じなんですかね、多分。,オペレーター: お店が…,カスタマー: そうですね、お昼ぐらいに。
オペレーター: そういったところが該当しなくてですね。,オペレーター: 例えば輪島キリコ会館。,カスタマー: キリコね。
オペレーター: そうですね、スーパー銭湯みたいな、感じですね。,オペレーター: ただいまお調べいたしますので、,カスタマー: 全然イメージがなくて…フフフ。
オペレーター: で、もうひとつが。,オペレーター: 山崎ワイナリーっていうところなんですけど。,カスタマー: 山崎ワイナリー、
オペレーター: はい、ありがとうございます、じゃあこちら<>。,オペレーター: 大分県大分市、オオジマキ、大きい字の牧、,カスタマー: 牧之原の牧<>なるほど。
オペレーター: 玄海灘という、福岡県の玄海灘がありまして、そちらの海底を眺めているような感じの水族館となっております、,オペレーター: ご興味ございますか？,カスタマー: 変わってるのであれば、いいかなーと思います、<>。
オペレーター: 何かこの辺で、ご質問とかありますか？,オペレーター: あと近いんですけど、コクショウセキ体験ミュージアムっていうのがあるんですけど。,カスタマー: 石？
オペレーター: かしこまりました。,オペレーター: それでは本日は観光案内をご利用頂きまして、ありがとうございました。,カスタマー: ありがとうございました。失礼致しました。
オペレーター: 工場の中で作られたところの、を、そこでお店で売っているみたいなかたちなんですよ。立ち寄るって…。,オペレーター: そうですね。そんな感じですね、イメージ的には。こちらも…。,カスタマー: っていうことは、安いんだ？
オペレーター: お寺となっておりまして、なかなか趣がある感じですね。で、写真見ますと、山形の芋煮？,オペレーター: 芋煮。こういう大きい。,カスタマー: 鍋。
オペレーター: 左様でございますか。ではそれとかですねー、お子様はー、例えば小学校とか中学校とかー、高校に通ってらっしゃるんでしょうか。,オペレーター: 左様でございますか。では小学校のお友達に買って帰るお土産とか、大丈夫ですか。,カスタマー: 是非、お願いしまーす。ご案内お願いしまーす。
オペレーター: ここ、でも、辛、辛さが、し、選べるのがいいかなっていう。,オペレーター: <>。,カスタマー: そしたら、それぞれ選べるってことですよね。
オペレーター: 一応、メンテナンスの休館はありますが、基本的には春先であればお休みはないっていう形でやってます。,オペレーター: こういったところ、行ってみますか？,カスタマー: そこってー、ねぶた祭りのー、おー、実際お祭りのねビデオとかそういのも流したりしてますか？
オペレーター: 銘菓キュウゾウエモン餅、キュウゾウベエ餅、すいません。,オペレーター: クゾウベ、クゾウベエ餅っていうところで、蓼科温泉を開湯した、矢崎喜惣次っていう人が、湯治客に振る舞った餅にちなんだものってなってて、クルミとかヨモギ、シソ、栗が入った1個95円の、餅みたいなものですけど、こういうものは好きではないですかね？,カスタマー: そういうのもいいですよね。なんか、そこのご当地のっていう感じで、お土産に。
オペレーター: お客様。,オペレーター: お待たせいたしました。,カスタマー: いえいえ、
オペレーター: こう庄内地方の自然を満喫する旅のようになってきま<>。,オペレーター: ではもしよろしければ、お昼の方はですね、こちらのやさいの荘の家庭料理菜ぁに致しますね。,カスタマー: こちらで、おねがいしま、
オペレーター: かしこまりました。,オペレーター: ではまず沖縄県に行きたい、冬の沖縄県に行ってみたいということで、したが、スーッ、ー、何か具体的にー、こういうー、ものが見てみたいとかー、こういう…、ことしてみたいとかそういったー…、アイディアなどはございますか？,カスタマー: 何かー、お勧めのー、所、とかー、あればなーと思って、ちょっとご相談させて頂きたいということですね。
オペレーター: そう言った意味ではですね、こちら懐石っぽくて肩ひじはる感じなんですけれども、何て言うんでしょうか。,オペレーター: 京都という感じをですね、十分に堪能するにはこっちもいいかなと言う気がしまして。,カスタマー: 別に一見さんはだめとかそういうすごいお店ではなくて旅行のお客さんも大丈夫ってことですか。
オペレーター: もしよろしければお昼の方は、この生そばコウヨウテイというところになりますのでー。,オペレーター: こちらお選びになるといいかなー、と思いました。,カスタマー: お店が少ないってことだけは頭に入れておきます。
オペレーター: はい。,オペレーター: そうですね。はい。寄せ鍋みたいな感じです。,カスタマー: 寄せ鍋？
オペレーター: あと、たとえばですね。,オペレーター: あまり、歴史は長くないんですけど、ハーブ園、なんかもありまして。,カスタマー: ハーブ園。
オペレーター: こちらがですね、夕食がですねー、ごめんなさい、予約制のコース料理がですねー,オペレーター: よんせ、四千円からとなっております。,カスタマー: これは、ちょっと、お店に聞かないと分からないですかね。
オペレーター: 大雪山の東側にある秘湯でして。,オペレーター: で、こちら標高1260メートル地点に、豊かな高温の源泉が湧き出しって書かれてありますね。,カスタマー: えー！
オペレーター: <>があるんだ。,オペレーター: 国の重要文化財となっておりますけど。,カスタマー: 訊いてみるものですね、
オペレーター: 面白そうな感じです、写真で見ると、小さな人形みたいなものとから、当然絵もあるんですけれども。,オペレーター: ちょっと大きめなおに、人形っていうんですかね造形物みたいなものもございます。,カスタマー: 結構その建物は大きそうな感じがありますか？
オペレーター: 猫をに関する美術品とか、世界各国から集めた個人の美術館なんですが。,オペレーター: 絵画とかオブジェとか民芸品とか、浮世絵、さざなものが、猫作品があるみたいで、猫好きにはたらないって書いてあるんですけれども。,カスタマー: すごいですねそんな美術館があるんですね、
オペレーター: 何て言うんでしょう、所謂とても綺麗な景色を楽しみながら、ザ京都というような感じなんですけれども。,オペレーター: 先程申し上げました神社の方が春の桜も見れますし素敵かなと、思いました。,カスタマー: ちょっとイメージを自分で膨らませられたので。
オペレーター: 普通に、和食の雰囲気を残しているカレー、スープカレーですか。,オペレーター: どんなのがいいですかね。,カスタマー: 北海道らしいみたいなのってありました？
オペレーター: あとそうですね、,オペレーター: お客様、梅、梅とか好きですか？,カスタマー: 茨城、やはり梅も有名ですのでー。
オペレーター: 充実した。,オペレーター: アハハ。すごい、楽しそうですね。,カスタマー: 楽しみ。
オペレーター: かしこまりました。ただいまお調べたします、少々お待ちください。,オペレーター: お待たせいたしました。,カスタマー: 例えばなんですけれども、青森じ、青森自慢料理ほこるやさんというお店がございまして。
オペレーター: ポッキーとか、ほんとグリコのお菓子がいっぱい置いてありまして。,オペレーター: ええ、ええ、,カスタマー: お土産に良さそう。
オペレーター: 下北半島とゆーのは、,オペレーター: どー説明しよーかな、青森県の、地図でゆーと、右上の方といいますか、半島になってる。,カスタマー: わかります。
オペレーター: んで、キリコ祭りを、そのスクリーンシアターで見ることができるんですね。,オペレーター: こちらがですね、いつとかは書かれてなくて申し訳ない、申し訳ないんですけど。,カスタマー: でも、そこに行くと年中楽しめるんですね。
オペレーター: 特にですね。,オペレーター: 予約とかは書かれてないんですけれども、一応、もしご興味ございましたら、確認されて、行かれるかと、よろしいかと思います。,カスタマー: はい。分かりましたー。
オペレーター: こういった、普通に魚介類を買う、以外にも、海鮮丼のお店ですとか、そういうお店もあるみたいですね。,オペレーター: ３つほど、ご紹介させていただいたんですが、どこかに興味、ひかれる場所は、ございましたか？,カスタマー: そのみなと、の、市場？
オペレーター: かしこまりました。,オペレーター: ただいまお調べしましたところ…お客様、らっきょう、らっきょうはお好きですか？らっきょう…。,カスタマー: たまーに。食べるぐらい(笑)
オペレーター: そうですね。で、こっち行ってみようか、あっち行ってみようかみたいな。一応、ここは、,オペレーター: タワーだけじゃなくていろいろ、しせ、商業施設とかも入ってるみたいなので、そういう情報が細かくはないんですけれども、一応、ここ、押さえておくっていう…。,カスタマー: じゃ、お買い物もできそうな感じ…。
オペレーター: 結構しまんちゅのサラダが993円だったりとか、からあげが842円だったりとか、ちょっとリーズナブルなんですけれども。,オペレーター: お時間も11時から23時までなので、意外とじっくりとできるんじゃないかなと思われます。,カスタマー: いいですね。個室なんですか？
オペレーター: じゃあ先程ジンギスカンって言ってたのでちょっとジンギスカンでお調べしてみます,オペレーター: 一応今のが夜っていう前提で,カスタマー: はい昼だとちょっとお待ちください
オペレーター: せんべい汁をご自宅でも食べれる。,オペレーター: ようなものが売ってお、おりまして、こちらですね例えばせんべい汁ですとか、あと青森県のお土産ですね、そういったものが買えるお店がございまして。,カスタマー: こちらのそのお土産ショップのほかにですねレストランもございますのでもしよろしければこれ八戸八戸の駅？
オペレーター: 旅行…、ご旅行の予定日。いつでも行けるっていう…。,オペレーター: こちら…、どうしましょう、一応、メモの方を残しておきますか。,カスタマー: 残して頂きたいです、ありがとうございまーす。
オペレーター: こちら、ランチタイムは、かけうどんを150円とゆう,オペレーター: かなり安い、感じで、,カスタマー: 安いです、ふふ、ふ。
オペレーター: 果物とか、鮮魚とか,オペレーター: あと乾き物ですね。,カスタマー: そうです、そうです。
オペレーター: 岡本太郎2000点い、ですから、すごい<>見応えがあると思うんですけれども。,オペレーター: いかがでしょうか、すごく面白そう、<>なんですけど面白そうですね。,カスタマー: そこはーもう、
オペレーター: 梅ではなくて。,オペレーター: 桜でもない？,カスタマー: でもなくて。
オペレーター: そうですよね。,オペレーター: はい。お客様、ではですね、ぴったりの場所がございまして、ブセナ海中公園という場所はご存知でしょうか。,カスタマー: はい。知ってます。はい。
オペレーター: で、そのままその大川という川へ。,オペレーター: スプラッシュインと書いてありますけど。,カスタマー: 楽しそう。それ、乗りたいと思ってたんですけど。大阪にあるの知らなかったです。
オペレーター: こういったところもございますね。,オペレーター: ハツサクラ、酒造株式会社さん、ですね。,カスタマー: それ、フリガナふってます？
オペレーター: でも、一応こ、お子様にも大丈夫みたいな。こちらも雨でもオッケーとなっております。,オペレーター: そうですね。そうですね。色々アクティビティが揃っているみたいですね。,カスタマー: うーん。うん。
オペレーター: 特にですね、こちら、露天風呂が100年、100年の木の、樹林の中で、<>、森林浴と併せて入浴ができるとなっておりましてー。,オペレーター: で、冬ですと雪見風呂が見れるそうなんですけど。,カスタマー: 雪見風呂！へー！
オペレーター: お食事とか、いかがですかー？,オペレーター: 懐石料理みたいな、京懐石<>。,カスタマー: 懐石料理っていうのは、京料理って、僕その辺が分からないんだけどー、か、懐石料理なんですかね？
オペレーター: 今時の小さなお子様って、どういうお土産を、,オペレーター: お友達に渡すと喜ばれるか、何かございますか。,カスタマー: はっははっはっはっはっ。スッはっはっ。難しいですねー、食べ物、
オペレーター: お店、おそらく二階建てになっているとも、思われるんですが。,オペレーター: 二階席で、毎晩、島唄ライブを、行ってる…。,カスタマー: 良いですねー、なるほどー、なるほど。
オペレーター: 昔こんな生活をしてましたって,オペレーター: はい,カスタマー: 移築している。
オペレーター: わ、ワハハ本舗でしたっけ？,オペレーター: を、見るっていうのと、あと京都の駅ビルに戻りましてー、TheCUBEで、お土産をーご覧になるっていう形で<>でしょうか？,カスタマー: それで、お願いします。
オペレーター: 例えばこういった場所はいかがでしょうかー。,オペレーター: そうですね、その辺ーですね、,カスタマー: 風景みたいなのってあるんですかね？
オペレーター: 食肉センターの方は、お肉の写真しか載ってないので。,オペレーター: 外観はわからないんですけど。,カスタマー: それ、どっちがいいかなー、あんべ、写真がある方がちょっと安心なので、あんべの方、候補に入れておこうかなと、思います。
オペレーター: こちらは私が確認できるところでは、すごい満月が海面に光ってとても幻想的な感じでして。,オペレーター: なかなかよろしいかと思うんですけれども。,カスタマー: そういうのがあるのすごいいいですね。
