operator_utterance,customer_utterance
オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: まあ、あの関東在住なんでー、まあ近い所とかでも、もし調べてもらって、あー近いとこで、結構肉料理多い、場所ありますよってのを教えてもらえたらー、ああ、そういうとこだったら。
オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: はい。すぐ行けるのかなーって<>すけどー…。
オペレーター: 牛肉…。和食洋食とかは特にこだわりなくってかた…、ちですかね…。,カスタマー: あー…。一応、洋ですかね、最初は洋で…、メインで…。
オペレーター: 牛肉…。和食洋食とかは特にこだわりなくってかた…、ちですかね…。,カスタマー: 調べてもらって、まあちょっと出てこなそうだった時は和とかにちょっとスライドしてもらったらな…<>…すけどー。
オペレーター: …ほしいの…なっていう。そうーですねー。,カスタマー: まあでもあんまり、東京とかだとちょっと、観光っぽい要素がないんでー。
オペレーター: うーん。,カスタマー: まあ、あのー、例えば北関東の方だったりとか、まああとさ、埼玉でも良いんですけどー。
オペレーター: うーん。,カスタマー: まあちょっと…、足を運ぶようなとこですかね。
オペレーター: 栃木だと…。,カスタマー: 南だったら神奈川の方だったりとか静岡～まあ<>。
オペレーター: お値段。,カスタマー: まあそこまで…、あのー、ケチるつもりはないんですけどー。
オペレーター: 行く日程…、あのー、えーとー、行く曜日とかは、平日とか、週末とか。決まってます…。,カスタマー: あーでも、週末～、にプラっと行こうかなー、とか思ってたんですけどー。
オペレーター: か、かなり柔らかい、箸が…、もうスッっと通るぐらい。,カスタマー: ああー、ああー、ああー。そう。
オペレーター: か、かなり柔らかい、箸が…、もうスッっと通るぐらい。,カスタマー: なんかこう一っ品の、そういうとんがったメニューやってますー、みたいなお店も、行ってみたい。いろいろ<>良いと思うんですけどー。
オペレーター: ちょっと、お肉が出て、今もう出てこなかったので、なんか….、食べ歩き、日光、日光、以外で。,カスタマー: そうですね。あとはまあ、逆方面の、そのさっ、今～…、北関東ってお伝えしたんでー。
オペレーター: ちょっと、お肉が出て、今もう出てこなかったので、なんか….、食べ歩き、日光、日光、以外で。,カスタマー: まあその神奈川の方だったりとかー、静岡っぽい所でー…、まあ海のある県の方とか。
オペレーター: うん。,カスタマー: でもしー、また肉料理が、そういうスパッとこう出てくれば…、そっちもちょっと興味ありますけどー。
オペレーター: うん。もうお酒、ぜん、えーとー…、もうごはん、食べ物だけっていうことですよね。,カスタマー: あっ、そうですねー。ご飯とー、お肉で、食べれれば良いかな。
オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: あ、はい、えっとですね、夏にー、あのー、一応7月の末ぐらいから8月かけてなんですけど、ちょっと友達と、あのー、あの和歌山に行こうと思ってまして。
オペレーター: はい。,カスタマー: でー、まあちょっとそれは1つは、あの、仕事の用事でも行くんですけど、でも結構、自由時間とか前後の時間で、まあ観光したいなと、フフ、いうことで、はい。
オペレーター: あ、はい、はい。,カスタマー: でー、じゃ、ちょっと、い、行ったこともない場所なんで、ちょっとどんな、こうスポットがあるのかとか、そういうのをすごいあのー、フフ、初歩的なとこを今日は知りたいなと思いまして。はい。
オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,カスタマー: そうですね、ちょっと九州が行ったことが無くて、ちょっと今度卒業旅行みたいな感じで行きたいなって思っているので、ちょっとどういった所が良いかなっていうのをお聞きしたいです。
オペレーター: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？,カスタマー: そうですね、3月…ぐらいを予定してます。
オペレーター: はい。3月くらいで。はい、何名様…の予定ですか？,カスタマー: 一応3人くらいの予定があります。はい。
オペレーター: はい、お客様、あのー九州なんですけれども、例えば九州のどのあたりとかそういったご要望はございますか？,カスタマー: そうですね、1回も行ったことがないので、福岡はまず行ってみたいっていうのと、あとはまぁ隣接してる長崎であったり、大分であったり、まぁそういった<>良いかなっていう思いはあります。
オペレーター: はい、あとそうですね、えーっと、福岡市内で…例えば…何か食べたい物とかそういったご要望はありますか？,カスタマー: そうですね、結構有名なのが。
オペレーター: えぇ。,カスタマー: めんた、明太子とかもつ鍋とか。
オペレーター: あーそうですよね。えぇ。,カスタマー: 特にもつ鍋とかは有名なんですけど、なんか、ゆう、なんかお店とかでオススメとかがあれば、まぁ教えてほしいですね。
オペレーター: はい。,カスタマー: じゃあ逆にお昼頃とかに、なんか、博多ラーメン、まぁラーメンが結構好きなんで、なんか、そういう。
オペレーター: えぇえぇ、おっしゃってましたね。はい。,オペレーター: えぇえぇ。<>。うん。食べれるお店とかがあれば、まぁお土産とかでもいいんですけど。
オペレーター: えぇー、せっかくですので、うん、はい、今お調べいたしまーす。,カスタマー: <>のところを、はい、気になるのでちょっと調べていただけると、はい。
オペレーター: はい、こちら最寄りの駅が出島…という出島え、駅ですね。はい、となっておりますね、はーい。あと何か食べたいものとかご要望ございますか？,カスタマー: あーはいそうですね。やっぱ長崎だと。
オペレーター: えぇ、えぇ。,カスタマー: まぁ長崎ちゃんぽんと、まぁ佐世保バーガーは知ってるんですけど。
オペレーター: はい。,カスタマー: まっそれで有名なとこでも良いですし、なんか他に長崎と言えばみたいな物があれば教えてほしいです。
オペレーター: はい…あとそうですね。,カスタマー: 1つすいません。聞きたいんですけど。
オペレーター: えーっとですねこちらがですね、はい。えーとですねすいません、あのーですね、今ただいま調べたんですけれども、ちょっと具体的なお酒…の品種がですね、ちょっとすいませんこちらの方で出てこなくてですね。,カスタマー: あーなんか多分焼酎とかが有名だと思うんですけど。
オペレーター: あー、あっそうですか。はい。じゃ、もうちょ、えぇ、ただいまお調べいたします、少々お待ちください。,カスタマー: ちょっともしかしたら下の熊本とか鹿児島の。
オペレーター: あーさようですか。,カスタマー: 薩摩の方の方が。
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: と、沖縄県に。
オペレーター: はい。,カスタマー: えー、1日、1日使って。
オペレーター: はい。,カスタマー: ちょっと1人で、あのー、旅行に行こうかなと思ってます。
オペレーター: 行かれる時期はお決まりでしょうか？,カスタマー: そうですね。やっぱり夏頃を考えてます。
オペレーター: そういったご要望はございますか。,カスタマー: そうですね。やっぱり有名どころでいうと、あの、水族館。
オペレーター: はい。はい。,カスタマー: とか、あと首里城とか。
オペレーター: はい。,カスタマー: やっぱメジャーなところに行ってみないな、みたいなと思ってまして。
オペレーター: はい。他にもご要望がございますか。,カスタマー: そうですね、水族館なければ動物が好きなので、動物園ってありますか？
オペレーター: はい。,カスタマー: もう帰る時に有名なお土産は。
オペレーター: はい。,カスタマー: 見て買って帰ろうかなあとは思ってます。
オペレーター: はい。何か、あのー、召し上がりたいものとか、何かご案内いたしましょうか？,カスタマー: そうですね。もう有名どころで何か食べて。
オペレーター: はい。,カスタマー: 水族館行って、お城行って、あとは、そうですね、まあ。
オペレーター: はい。,カスタマー: 自然のきれいな海とか見れたらいいかなと思います。
オペレーター: はい。,カスタマー: さっき夜景が、き、きれいってとこが出てきたんで。
オペレーター: はい。,カスタマー: 何か他に夜景がきれいなところってありましたかね？
オペレーター: はい。,カスタマー: <>も決まって、行くところも決まって、夜ご飯食べて、夜景も見れて帰るんで。
オペレーター: はい。あ、はい。,カスタマー: あと、お土産を買って帰れるんで、もう完璧かなと思います。
オペレーター: えっと今回ご旅行の、あのーご希望とかー、行きたい場所なんていうのは決まっていますでしょうか？,カスタマー: あの、友人と石川県へ行きたい。
オペレーター: えっと、季節的にはー、は、春とか夏とか、何か。,カスタマー: <>、3月ぐらい。
オペレーター: えっと、石川県ではー、何をなさりたいですか？,カスタマー: 白山て、あのおっきな山、分かりますか？
オペレーター: 少々お待ちください。,カスタマー: あそこの近くに行きたい、ですけどね。
オペレーター: あの、食べたいものとか、ありますか？,カスタマー: できれば、あら？そうだねえ。
オペレーター: あの、食べたいものとか、ありますか？,カスタマー: まあ3月だからー、まあちょっとあっちの方、寒いーので、寒いと思うんですよね。
オペレーター: はい。,カスタマー: こっちより。
オペレーター: はい。,カスタマー: 東京より。
オペレーター: はい。,カスタマー: 鍋もんとか、まあラーメンとかは、ない？
オペレーター: はい。,カスタマー: ラーメンと…。
オペレーター: ラーメンでございますか？,カスタマー: ラーメンないよね、多分ね、そっちの。
オペレーター: あらー。,カスタマー: お酒飲めないんだけども、お米…あー。
オペレーター: と、それからー、えー、あとはーやっぱりお芋を使ったお料理、あー、お菓子であったりとかー、あとーこれは、んー。,カスタマー: あのー、できればなんか、はく、博物館とか美術館とか、ある、あるー、ある<>。
オペレーター: あ、そういったところ、見たいですか？,カスタマー: そうですね。
オペレーター: あははは。,カスタマー: 行くんだったらそういうとこー、あの、ない、ところ行きたい。
オペレーター: あと、なんか一応さっき仰られてたんですけど、動物園はいくつかありまして、んっとーカピバラとか見たければカピバラがいる動物園があるんですけど。,カスタマー: 行くんだったらね。
オペレーター: あとは特に何か、あのー見たいとか、あとは買いたいとかっていうのは、ございますか？,カスタマー: あの、一応あればいーんですけど、絵？
オペレーター: はい。,カスタマー: 絵画、とかって、絵画、美術館とか美術…ある？
オペレーター: はい。,カスタマー: あるんだったら。
オペレーター: あとは。,カスタマー: え、絵の、絵の、絵の美術展…。
オペレーター: では、えーと、今回の、えー、ご旅行、お決まりの範囲、具体的に教えていただきたいんですけども。,カスタマー: そうですね。ちょっと疲れを取りたいんで、源泉掛け流しのお湯に漬かれる温泉がいいなあと思ってるんですけけれど。
オペレーター: 温泉ですね。,カスタマー: どこでもいいんです。
オペレーター: いつ頃。,カスタマー: 冬とかが乙かもしれない。
オペレーター: どうしましょう、北か南か、お選びいただくと、もうちょっと絞れるかなって。,カスタマー: では、南がいいですかね。
オペレーター: どうしましょっか。,カスタマー: なんか、できれば、そのー、海の、に、ぎりぎり迫ってるとか、なんかありますよね、よくテレビで。
オペレーター: どうしましょっか。,カスタマー: そういう。
オペレーター: あー。,カスタマー: 川でもいいんですけど。
オペレーター: えーと、山に近いは今すぐ出てきてたんですけど。,カスタマー: うん。まあ、山でもいいですが。
オペレーター: 貸切風呂っていうものがあるんですけども、あの、お連れさまなどいらっしゃいますか？,カスタマー: あ、妻と行こうと思ってる。
オペレーター: 貸切、例えば貸切がいいとかっていうのは、こだわりは特に、な、ないですか？,カスタマー: えっとー、ま、貸切のほうが、うれしいことはうれしいですね。
オペレーター: で、えー、竹林と今、海沿いというか水辺のそば、ご案内させていただいたんですけど、竹林よりは水辺のほうがいいですか、やはり。,カスタマー: そうですね。竹林は、まあ、いいですかね。フッフッフッ。
オペレーター: はい。,カスタマー: ウナギも食べてみたいなと、今、急に思って。
オペレーター: 四万十川ですね？,カスタマー: おまけにウナギも食べちゃい、えたらいいなと思いましたけど。
オペレーター: こちら、どうでしょう？今、い、お二つ、えーと、四万十川付近で検索して出てきたんですけども、こちら、どち、どっちか。,カスタマー: どっちかというと前者のほうが、やっぱりいいですかね。
オペレーター: 前者？,カスタマー: 貸切。
オペレーター: こちらと先ほどのだったら。,カスタマー: さらにこっちのがいいですね。
オペレーター: どういったご旅行をご希望でしょうか。,カスタマー: えっとー、出来れば、温泉とスキーを楽しみたいと思ってまーす。
オペレーター: いつ頃、ご旅行なさいますか。,カスタマー: えっとー、やはりスキーなので、冬ですね。
オペレーター: はい、ではお客様こちらす、えー、雫石スキー場に行くとしてー 、他は、どういったものをご覧になりたいかご希望ございますか。,カスタマー: 引き続きほ、ほ、ほ、他の温泉に夜入りたいなーと思っているんですけど、
オペレーター: お客様、露天風呂がよろしいか、あるいは室内のお風呂がいいかー、そういったご希望ございますか。,カスタマー: あー、どっちでもいいですけど、露天風呂でじゃあ、お願いします。
オペレーター: わんこそばとか、それってちょっと、どうですかねー。食事じゃないよ、っていう方もいらっしゃるかもしれませんのでー、,カスタマー: いや、わんこそばはー、実はすごい気になってはいててー、
オペレーター: ええ。,カスタマー: うん。自分も子供も食べたいと思ってました。
オペレーター: もう一個、冷麺もあるようでー、盛岡、はい。冷麺とわんこそばだとどちらがよろしいですかね。,カスタマー: わんこそばの方が良いと思います。
オペレーター: では、先ほどの話に戻りますとー、お夕食の方ですね、夕ご飯の方は、お魚ー、ご希望ですか。,カスタマー: スーッ、そうですねー。お魚が、おね、お願いしたいですー、魚でお願いしたいです。
オペレーター: そのうどんすきの中に、海鮮が入っているような感じの場所とかも御座いますしー、いかかー、ですかねー、どう。,カスタマー: うどんー、がいいですね。
オペレーター: あっもう一度、お願い出来ますか。,カスタマー: あっ、うっ、うどんー、が良いです。
オペレーター: どうでしょうか、専門店で買うのとー、それかー、まあ、いろんなー、ものから選べるようなー、その物産館のような所ですね、そういった所から、選ぶの、どちらが良いですかね。,カスタマー: あっ、物、産館ー、の方が良いですね。
オペレーター: 本日は、えー、ご旅行の、えー、ご計画されているということで、えー、まず行先など、えー、決まってる範囲で教えていただいてもよろしいでしょうか？,カスタマー: そうですね、あの、青森の方、行ったことがないので行ってみたいなあと思ってます。
オペレーター: 青森県、えーと、青森県、えー、具体的に青森県のどこまでっていうのは決まってらっしゃらないということでよろしいですか？,カスタマー: そうですね、あの、家が埼玉なもんで大宮が近いので、あのー、東北新幹線で行けるところぐらいから、お、まあそっからちょっと足を延ばしてもいいかなと思ってますけど。
オペレーター: で、季節とかもし決まってれば、まだ決まってない。,カスタマー: そうですね、まあ、うーんと、雪のころはやっぱりつらいんで、はるさ、春先ぐらいがいいかなあと<>。
オペレーター: で、えーと、じゃあお一人で楽しめるようなところのほうがいいですか？なんか具体的にやりたいことがあれば、まずお調べしたいと思うんですけど。,カスタマー: そうですね、あのー、まああのー、やっぱり青森といえばー、あの、ねぶた祭なのかなと思うんですけど、まあ、夏になりますし、まああの、すごい混むと聞いてますんで、しょっぱなですから、まあ、あー、ねぶたのなんかそういった出し物みたいなのが、なんかこう展示されて<>見えたりとかですね、あとはー、やっぱり津軽三味線の、おー、まあ、ライブをみ、見たりとかですね、あのー、あとよく分かりませんけど、大間のマグロなんかもたぶんどっかで捕れるんだろうから、まあ、海産物とかも美味しいのかなと思うので、そういったところ行ったりとかできたらいいかなあなんて、まあ、漠然と思ってるんですけど。
オペレーター: 三味線を、あのー、ライブでしたっけ、そういったのを。,カスタマー: そうですね、そういうの見ながら、なんかお酒でも食事でもとれるようなところがあったら行ってみたいなあと思うんですけど。
オペレーター: お客様どのようなご旅行をお考えでしょうか？,カスタマー: えとー、温泉、どっか温泉に行って、リラックスしたいなと思ったんですけど。
オペレーター: はい、お客様、何名様で行かれる予定ですか？,カスタマー: そうですね、一人で行けるところを探してます。
オペレーター: はい。,カスタマー: 例えば、秋とか、紅葉の時期？とかに良さそうな場所とか。
オペレーター: あのー、できればなんですけれども、例えばあの、そうですね、例えば東日本側がいいですとか、西日本側がいいですとか、どちらか絞れますか？,カスタマー: うーん、じゃあ、東日本？のほうで。はい。
オペレーター: あー、ありますよね。そういった風呂もありますけど、何か、こだ、こだわりとかありますか？,カスタマー: 温泉…できれば、源泉かけ流し？
オペレーター: あー、はい。,カスタマー: の、温泉がいいなーって思っていて。
オペレーター: ええ。こちらも、なかなかよろしいかと思いますね。はい。,カスタマー: じゃあ、その源泉かけ流しで、なんか色んなお湯に、色んなお湯と言うか。
オペレーター: はい。,カスタマー: 温泉街？みたいな所ってありますか？
オペレーター: 硫黄の温泉？ですね。はーい。,カスタマー: 今聞いていて、そういう、いろ、温泉街みたいなところで、色んなお湯に、こう入って、ま、出て、ちょっとお茶したり、またお湯に入りに行ってお茶したりみたいなイメージとー。
オペレーター: はい。,カスタマー: あとは、もう、一箇所で、すごい落ち着いたさっきの秘湯とか、そういう雰囲気がありそうな所で、あの、1日ゆっくりするっていうのと、すごく迷ってるんですけど。
オペレーター: はい。そうなんですよね。はい。,カスタマー: そしたら、一番の、その温泉に行くときの、これだけはっていうポイントが、その、私的には源泉かけ流しなので、はい、それに絞って探したいです。
オペレーター: かしこまりました。あと何か、あのー、お客様の方で、あの、見たり食べたりとかそういったご要望はございますか？,カスタマー: 食べたりしたいですね。あ、なんか、ちょこちょこ色んなものを、甘いものとか。お茶するだけだったりでもいいんですけど。
オペレーター: あ、そうですか。,カスタマー: どちらかといえば、でも、うーん、ま、和食がいいかな、じゃあ。
オペレーター: そうですね、そうしますと、お客様、例えば蟹はお好きですか？,カスタマー: あ、蟹、大好物でーす。
オペレーター: 確かに。えーとそうですね、多分、コース料理は、に、2名様というところが多そうですよね。,カスタマー: 割と、その、お店側が一人でもオッケーっていう感じであれば、どこでも一人で入れるタイプなので、フフフ、問題ないんですけど。
オペレーター: あ、ええ、ええ、ええ。,カスタマー: なんか、そういうものにちょっとでも関係する場所とか、触れられる場所とかってあるんですかね？
オペレーター: お客様、どのような旅行をお考えでしょうか？,カスタマー: そうですね、あまり具体的なことは決めてないのですが、
オペレーター: はい。,カスタマー: えーと、一度、しまなみ海道周辺を
オペレーター: はい。,カスタマー: 旅したいと思っていましてー
オペレーター: はい。,カスタマー: えっと、しまなみ海道は、あのー
オペレーター: はい。,カスタマー: 行くとしたら自転車で、あのー、横断したいんですけどー
オペレーター: えーと、何名様で行かれる予定でございますか？,カスタマー: はい、えーと、そうですね。友人と二人で行こうかなと思っています。
オペレーター: はい。,カスタマー: で、友人も、あのー、ちょっと女性じゃなくて男性の、男性と行こうかなと思ってるんですけどー
オペレーター: あと、すいません。あのー、具体的に行かれる季節ですとかー、あのー、決まっておりますか？,カスタマー: あ、季節はー、特に決まってないんですが、冬はちょっと自転車は寒いかなあと思うので、できれば冬以外がいいかなと思っています。
オペレーター: あと他にですねー、そのー、しまなみ海道に行かれましてー、あと例えば他に観光したいですとかー、何か見てみたいですとかー、あのー、食べたりとかー、そういったご要望はございますか？,カスタマー: あ、はい。そうですね、あのー、訪ねられたら行ってみたい場所があるんですけどー、えーと
オペレーター: ええ。,カスタマー: その二つの島にもし行ければ、行ってみたいなあと思っています。
オペレーター: すいません。他に、ええ、他に何かご要望はございますか？,カスタマー: はい。そうですね、えっとー、もし途中かゴールのほうがいいかな、ゴール地点の近くでー、えーと
オペレーター: はい。,カスタマー: 温泉に入れる場所があればー、寄ってみたいのとー
オペレーター: はい。,カスタマー: しまなみ海道の、あのー、名物も味わいたいのでー<>
オペレーター: はい、はい、えー。,カスタマー: 甘いものとか、あとは昼食かな、昼食おすすめスポットがあれば教えていただけたらと思います。
オペレーター: あ、それでも構いませんし、あのー、終わったあと、<>ええ、あの、行かれても大丈夫かと思うんですけれどもー,カスタマー: あ、分かりました、そうですね、あの、戻ってきてから入るっていうのであれば<>いいかなと
オペレーター: あとー、そうですね、あのー、どこか美味しいものを食べたいとのことですよね。,カスタマー: はい、そうですね、あのー、普通にメインメニューのお食事も食べたいですしー、ちょっとその、途中、休憩、甘いものも、はい、あのー、食べてみたいです。
オペレーター: かしこまりました。あのー、お食事なんですけれどもー、あのー、郷土料理が良いですとかー、何かご要望はございますか？,カスタマー: はい、そうですね、広島なのでー、あのー、お好み焼きが<>かと思いましてー
オペレーター: はい。,カスタマー: はい、あのー、そういうちょっと焼き物系のお店、おすすめあれば<>
オペレーター: はい、かしこまりました、えー、それでは、えー、まず行先についてお聞きしたいんですけどもー、具体的にどこ行きたいとかって決まってらっしゃいますか？,カスタマー: あ、北海道で考えてます。
オペレーター: あ、北海道ですねー、はい、ちなみに北海道、えー、何月ごろに行くとか、季節はどれぐらいに行きますか？,カスタマー: と、冬ですね。
オペレーター: あ、ちなみに、人数は何名様で行かれるご予定でしょうか？,カスタマー: あ、一人旅です。
オペレーター: 何か、アクティビディというか、こういうことがしたいとかー、なんかこういう場所が見てみたいとか、あとはなんか、どういうものが食べてみたいとか、そういったご希望やアイデアなんかはございますか？,カスタマー: そうですね、まあせっかく冬なので、まあ脂が乗った魚は食べたいですね。
オペレーター: はい、えーそうですね、えーとー、魚介料理のお店かなりたくさんございまして、例えば、えーとー、カニが食べたいですとか、カキが食べたいとか、そういったなんかご希望ってございます？,カスタマー: あー、カニいいですね。
オペレーター: はい、どうでしょう、もう何件かご紹介したほうがよろしいでしょうか？,カスタマー: そう、じゃあもう一件ぐらい、はい。
オペレーター: <>昼間とか何か、えーと、アクティビティだったり、どっかちょっと見てみたい場所だったりとか、お探しになったほうがいいかなと思うんですけど、<>。,カスタマー: そうですね、昼、そうですね、なんだろう、まあちょっと、そうですね、まあ写真がとれるようなスポットとかあるといいなと、冬の、はい、はい。
オペレーター: <>結構その自然、なんていうんだろ、自然の風景だったり、の方がいいでしょうか、それとも<>歴史的な例えば建造物でしたりとかー、の方がいいですか？,カスタマー: あー、そうです、じゃあ歴史的な建造物の方で。
オペレーター: それとも、もうちょっとなんか札幌から離れたところとかーでもお探しすることもできますけど、どうでしょうか。,カスタマー: まあでも、それくらいで、そうですね、まあ時計と、ありますし、<>、そうですね、大学、ねえ、そのどれぐらい歩き回って時間かかる分からないのでー、結構、そうですね。
オペレーター: そうですね、東京ドーム38個分です<>。,カスタマー: <>ゆっくり大学見て、時間が余ったら時計台やってーみたいな、そんな感じでいいのかなあと思います、はい。
オペレーター: はい、ではえっと、ここまでで一応、夕食と、まあ北海道大学と時計台で写真を撮るというところまでは、えー、決まったと思うんですが、他に何かやってみたいこととかってございますか？,カスタマー: んと、じゃあ昼食ですね。
オペレーター: はい。,カスタマー: はい、なんかお昼で<>はい、美味しいお肉とか。
オペレーター: あ、結構お昼はお肉料理がいい感じですか？,カスタマー: そうです、まあ、そうですね、ま、どうしようかな、夜魚、ねえ、魚というかカニなので、まあ、肉料理でもいいし、まあラーメンとかでもいいし、はい。
オペレーター: えーと、そうですね、やっぱあれですね、なんかちょっとコース料理みたいなやつじゃなくて、こう、なんていうか、一品物みたいなほうがよろしいですかね。,カスタマー: そうですね、まあ、ねえ、それこそ丼物二件ハシゴするくらいでもいい気持ちなので、はい。
オペレーター: ほかなんか、ラーメン以外ですと、えーと、例えばなん、なんですか、ジンギスカンとかですかね、<>料理でいいますと。,カスタマー: そうですね、はい、まあなんか、それこそ食べ歩きできるような店でもいいです、はい。
オペレーター: どうでしょう、こちらも一応リストとかにいれたほうがいいですか？それとももうちょっとほかの店とかも。,カスタマー: そー、ですね、まあそ、あーでも、今の2件どちらも良さそうなので、はい、一応リストに入れる形で、はい、お願いします。
オペレーター: ええ、ええ、あ、はい、かしこまりました、はい、かしこまりました、ではスープカリーひげ男爵と、えーとー、万屋マイキーこちらのスープカレー店2件もリストに加えさせていただきますねー。,カスタマー: 実際に行くのは一件かなという感じですね、はい、ええ。
オペレーター: あとどうでしょう、もうちょっとなんか軽めのやつとか、あの、食べ物でしたりとか、また、なんかお菓子だったりとか、そういった食事系も探しますか、それともなんか、<>全然違うやつとかでも食事じゃないやつとかでも大丈夫ですけど。,カスタマー: そうですね、あー、そのお土産も買えるようなお菓子のお店があると、はい。
オペレーター: お土産ですと、例えば、どうですかね、なんか、ちょっとなんか、ぱっと見る限り魚介的なこう、お土産屋さんとかー、ほかには、まあスイーツですね、スイーツとか、まあいくつかこう種類があるんですけど。,カスタマー: そうですね、その、スイーツで、そうです、スイーツでお願いします、はい。
オペレーター: ええ、大丈夫ですよ。,カスタマー: 宮城県のほうに行って…宮城県とか石巻？行ってみ<>
オペレーター: ええ。あー、なるほど。,カスタマー: 仙台<>行ってみたいんですけどー、はい。
オペレーター: かしこまりました。では仙台でどういったことをなさりたいですか？,カスタマー: はい。えっとー、ま、えと妹とちょ、ちょっと歳の離れた妹と行きたいんですけれどもー
オペレーター: では、行かれる季節はいつになさいましょうか？,カスタマー: あ、えっと、夏です、夏。
オペレーター: 何か、あのー、こういった点に配慮してほしいとか、ご希望はございますか？,カスタマー: あ、えっと実はあの、ちょっとあの、うふん、妹が足がちょっと悪い、不自由なもんですからー
オペレーター: ええ、ええ。,カスタマー: <>きれば、あのー、ま、色々まわりたい気持ちは山々なんですけどー。
オペレーター: ええ、ええ。,カスタマー: あまりこう、何て言うのかな、こう、なんかこう、あっ、なんかよく分かんない、アップダウンがちょっと激しいとことか、はい。
オペレーター: ええ、分かります。ええ。ええ、ええ。,カスタマー: そういうとこはちょっと避けたいかなって感じです。
オペレーター: ええ。,カスタマー: あ、そうですね。あのー、自立歩行できますので、妹も。あの、車椅子と<>ないのでー。
オペレーター: ええ、ええ。,カスタマー: あの<>えっとー、ま、ゆっくりであれば、ちゃんと歩け<>できるのでー。
オペレーター: ええ。,カスタマー: 例えばあのー、ちょっと幼少期の二人の共通の記憶をたどってー
オペレーター: ええ。,カスタマー: 朝は、ちょっと、なんか、港のほうの朝市を見てー、なんか、マルシェみたいのなんか、なんかあった気がするんです<>
オペレーター: そうしますと、大体、何時ぐらいに行かれるお考えでしょうか？,カスタマー: そうですね、うんとー、うん、もう、そうだな、やっぱり朝、朝の雰囲気をのみたい、楽しみたいので、ちょっと<>てー、早く起きてー
オペレーター: ええ。,カスタマー: なんだろう、ま、開店と、8時の開店と同時に<>
オペレーター: ええ、ええ。,カスタマー: 9時までには入りたいかなって感じで。
オペレーター: やっぱ<>朝が<>,カスタマー: やっぱりちょっと、はい、行きたいかなって、はい。
