previous_operator_utterance,operator_utterance,customer_utterance
オペレーター: うん。,オペレーター: あーじゃあ具体的なその、場所～…、を、なんだろう、地域を絞りたい…。って感じですかね。,カスタマー: はい。すぐ行けるのかなーって<>すけどー…。
オペレーター: えーと、にっ、関東で肉？,オペレーター: 牛肉…。和食洋食とかは特にこだわりなくってかた…、ちですかね…。,カスタマー: あー…。一応、洋ですかね、最初は洋で…、メインで…。
オペレーター: えーと、にっ、関東で肉？,オペレーター: 牛肉…。和食洋食とかは特にこだわりなくってかた…、ちですかね…。,カスタマー: 調べてもらって、まあちょっと出てこなそうだった時は和とかにちょっとスライドしてもらったらな…<>…すけどー。
オペレーター: 具体的な県は無いですもんね。とりあえず関東で見つかれば…。,オペレーター: …ほしいの…なっていう。そうーですねー。,カスタマー: まあでもあんまり、東京とかだとちょっと、観光っぽい要素がないんでー。
オペレーター: でも。,オペレーター: うーん。,カスタマー: まあ、あのー、例えば北関東の方だったりとか、まああとさ、埼玉でも良いんですけどー。
オペレーター: うーん。,オペレーター: うーん。,カスタマー: まあちょっと…、足を運ぶようなとこですかね。
オペレーター: じゃちょっと…、一度…、栃、木、の方、とかでお調べしますか。,オペレーター: 栃木だと…。,カスタマー: 南だったら神奈川の方だったりとか静岡～まあ<>。
オペレーター: ちょっと写真が、ないんすけどー。,オペレーター: お値段。,カスタマー: まあそこまで…、あのー、ケチるつもりはないんですけどー。
オペレーター: ちなみにあのー。,オペレーター: 行く日程…、あのー、えーとー、行く曜日とかは、平日とか、週末とか。決まってます…。,カスタマー: あーでも、週末～、にプラっと行こうかなー、とか思ってたんですけどー。
オペレーター: こちら、オススメが、栃木和牛を使った、土鍋の、ビーフシチュー。,オペレーター: か、かなり柔らかい、箸が…、もうスッっと通るぐらい。,カスタマー: ああー、ああー、ああー。そう。
オペレーター: こちら、オススメが、栃木和牛を使った、土鍋の、ビーフシチュー。,オペレーター: か、かなり柔らかい、箸が…、もうスッっと通るぐらい。,カスタマー: なんかこう一っ品の、そういうとんがったメニューやってますー、みたいなお店も、行ってみたい。いろいろ<>良いと思うんですけどー。
オペレーター: わりとこう触れ合い、みたいな。,オペレーター: ちょっと、お肉が出て、今もう出てこなかったので、なんか….、食べ歩き、日光、日光、以外で。,カスタマー: そうですね。あとはまあ、逆方面の、そのさっ、今～…、北関東ってお伝えしたんでー。
オペレーター: わりとこう触れ合い、みたいな。,オペレーター: ちょっと、お肉が出て、今もう出てこなかったので、なんか….、食べ歩き、日光、日光、以外で。,カスタマー: まあその神奈川の方だったりとかー、静岡っぽい所でー…、まあ海のある県の方とか。
オペレーター: ちょっと、お肉が出て、今もう出てこなかったので、なんか….、食べ歩き、日光、日光、以外で。,オペレーター: うん。,カスタマー: でもしー、また肉料理が、そういうスパッとこう出てくれば…、そっちもちょっと興味ありますけどー。
オペレーター: うん。,オペレーター: うん。もうお酒、ぜん、えーとー…、もうごはん、食べ物だけっていうことですよね。,カスタマー: あっ、そうですねー。ご飯とー、お肉で、食べれれば良いかな。
オペレーター: <>にちはー。,オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: あ、はい、えっとですね、夏にー、あのー、一応7月の末ぐらいから8月かけてなんですけど、ちょっと友達と、あのー、あの和歌山に行こうと思ってまして。
オペレーター: はい。,オペレーター: はい。,カスタマー: でー、まあちょっとそれは1つは、あの、仕事の用事でも行くんですけど、でも結構、自由時間とか前後の時間で、まあ観光したいなと、フフ、いうことで、はい。
オペレーター: はい。,オペレーター: あ、はい、はい。,カスタマー: でー、じゃ、ちょっと、い、行ったこともない場所なんで、ちょっとどんな、こうスポットがあるのかとか、そういうのをすごいあのー、フフ、初歩的なとこを今日は知りたいなと思いまして。はい。
オペレーター: こんにちは。,オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,カスタマー: そうですね、ちょっと九州が行ったことが無くて、ちょっと今度卒業旅行みたいな感じで行きたいなって思っているので、ちょっとどういった所が良いかなっていうのをお聞きしたいです。
オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,オペレーター: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？,カスタマー: そうですね、3月…ぐらいを予定してます。
オペレーター: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？,オペレーター: はい。3月くらいで。はい、何名様…の予定ですか？,カスタマー: 一応3人くらいの予定があります。はい。
オペレーター: はい、はい、ただいまお調べいたしまーす。,オペレーター: はい、お客様、あのー九州なんですけれども、例えば九州のどのあたりとかそういったご要望はございますか？,カスタマー: そうですね、1回も行ったことがないので、福岡はまず行ってみたいっていうのと、あとはまぁ隣接してる長崎であったり、大分であったり、まぁそういった<>良いかなっていう思いはあります。
オペレーター: はい。,オペレーター: はい、あとそうですね、えーっと、福岡市内で…例えば…何か食べたい物とかそういったご要望はありますか？,カスタマー: そうですね、結構有名なのが。
オペレーター: はい、あとそうですね、えーっと、福岡市内で…例えば…何か食べたい物とかそういったご要望はありますか？,オペレーター: えぇ。,カスタマー: めんた、明太子とかもつ鍋とか。
オペレーター: えぇ。,オペレーター: あーそうですよね。えぇ。,カスタマー: 特にもつ鍋とかは有名なんですけど、なんか、ゆう、なんかお店とかでオススメとかがあれば、まぁ教えてほしいですね。
オペレーター: はい、こちらもそうですね、夕方5時からの営業となっておりますね。,オペレーター: はい。,カスタマー: じゃあ逆にお昼頃とかに、なんか、博多ラーメン、まぁラーメンが結構好きなんで、なんか、そういう。
オペレーター: はい、あとあれでしたっけ、あのー明太子でしたっけ？,オペレーター: えぇえぇ、おっしゃってましたね。はい。,オペレーター: えぇえぇ。<>。うん。食べれるお店とかがあれば、まぁお土産とかでもいいんですけど。
オペレーター: えぇ、えぇ、あの出島でもお調べしましょうかね、観光地。,オペレーター: えぇー、せっかくですので、うん、はい、今お調べいたしまーす。,カスタマー: <>のところを、はい、気になるのでちょっと調べていただけると、はい。
オペレーター: はい、インフォメーションセンターがはい、ございますので。,オペレーター: はい、こちら最寄りの駅が出島…という出島え、駅ですね。はい、となっておりますね、はーい。あと何か食べたいものとかご要望ございますか？,カスタマー: あーはいそうですね。やっぱ長崎だと。
オペレーター: はい、こちら最寄りの駅が出島…という出島え、駅ですね。はい、となっておりますね、はーい。あと何か食べたいものとかご要望ございますか？,オペレーター: えぇ、えぇ。,カスタマー: まぁ長崎ちゃんぽんと、まぁ佐世保バーガーは知ってるんですけど。
オペレーター: えぇえぇ、そうですよね。,オペレーター: はい。,カスタマー: まっそれで有名なとこでも良いですし、なんか他に長崎と言えばみたいな物があれば教えてほしいです。
オペレーター: はい、よろしければこちらで食べていただくのも良いかなと思います。,オペレーター: はい…あとそうですね。,カスタマー: 1つすいません。聞きたいんですけど。
オペレーター: はい、すいません大変お待たせしました。,オペレーター: えーっとですねこちらがですね、はい。えーとですねすいません、あのーですね、今ただいま調べたんですけれども、ちょっと具体的なお酒…の品種がですね、ちょっとすいませんこちらの方で出てこなくてですね。,カスタマー: あーなんか多分焼酎とかが有名だと思うんですけど。
オペレーター: えーっとですねこちらがですね、はい。えーとですねすいません、あのーですね、今ただいま調べたんですけれども、ちょっと具体的なお酒…の品種がですね、ちょっとすいませんこちらの方で出てこなくてですね。,オペレーター: あー、あっそうですか。はい。じゃ、もうちょ、えぇ、ただいまお調べいたします、少々お待ちください。,カスタマー: ちょっともしかしたら下の熊本とか鹿児島の。
オペレーター: あー、あっそうですか。はい。じゃ、もうちょ、えぇ、ただいまお調べいたします、少々お待ちください。,オペレーター: あーさようですか。,カスタマー: 薩摩の方の方が。
オペレーター: 本日はご利用いただきまして、ありがとうございます。,オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: と、沖縄県に。
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,オペレーター: はい。,カスタマー: えー、1日、1日使って。
オペレーター: はい。,オペレーター: はい。,カスタマー: ちょっと1人で、あのー、旅行に行こうかなと思ってます。
オペレーター: かしこまりました。沖縄県のほうにお一人でということですね？はい。,オペレーター: 行かれる時期はお決まりでしょうか？,カスタマー: そうですね。やっぱり夏頃を考えてます。
オペレーター: はい。お客さま、あの、沖縄県で、あのー、何か見てみたいですとか、あのー、食べてみたいですとか。,オペレーター: そういったご要望はございますか。,カスタマー: そうですね。やっぱり有名どころでいうと、あの、水族館。
オペレーター: そういったご要望はございますか。,オペレーター: はい。はい。,カスタマー: とか、あと首里城とか。
オペレーター: はい。はい。,オペレーター: はい。,カスタマー: やっぱメジャーなところに行ってみないな、みたいなと思ってまして。
オペレーター: はい。あと、お客さま、あのー、沖縄県にて何か、あの、見てみたいですとか。,オペレーター: はい。他にもご要望がございますか。,カスタマー: そうですね、水族館なければ動物が好きなので、動物園ってありますか？
オペレーター: はい。,オペレーター: はい。,カスタマー: もう帰る時に有名なお土産は。
オペレーター: はい。,オペレーター: はい。,カスタマー: 見て買って帰ろうかなあとは思ってます。
オペレーター: あと、お客さま、あのー。,オペレーター: はい。何か、あのー、召し上がりたいものとか、何かご案内いたしましょうか？,カスタマー: そうですね。もう有名どころで何か食べて。
オペレーター: はい。あのー、お客さまのほうで、他に、あの、沖縄県で何か、あのー、見てみたいですとか、あの、他にもご要望ございませんか？,オペレーター: はい。,カスタマー: 水族館行って、お城行って、あとは、そうですね、まあ。
オペレーター: はい。,オペレーター: はい。,カスタマー: 自然のきれいな海とか見れたらいいかなと思います。
オペレーター: 他にも、ご要望ございますか？,オペレーター: はい。,カスタマー: さっき夜景が、き、きれいってとこが出てきたんで。
オペレーター: はい。,オペレーター: はい。,カスタマー: 何か他に夜景がきれいなところってありましたかね？
オペレーター: あとそうですね、他に何か、ご要望とかありますか。,オペレーター: はい。,カスタマー: <>も決まって、行くところも決まって、夜ご飯食べて、夜景も見れて帰るんで。
オペレーター: はい。,オペレーター: はい。あ、はい。,カスタマー: あと、お土産を買って帰れるんで、もう完璧かなと思います。
オペレーター: 本日は、ご利用いただきましてありがとうございます。,オペレーター: えっと今回ご旅行の、あのーご希望とかー、行きたい場所なんていうのは決まっていますでしょうか？,カスタマー: あの、友人と石川県へ行きたい。
オペレーター: はい。,オペレーター: えっと、季節的にはー、は、春とか夏とか、何か。,カスタマー: <>、3月ぐらい。
オペレーター: 少々お待ちくださいませ。,オペレーター: えっと、石川県ではー、何をなさりたいですか？,カスタマー: 白山て、あのおっきな山、分かりますか？
オペレーター: 白山ですか？,オペレーター: 少々お待ちください。,カスタマー: あそこの近くに行きたい、ですけどね。
オペレーター: あとはー、あのお昼ご飯とか、いかがしますか？,オペレーター: あの、食べたいものとか、ありますか？,カスタマー: できれば、あら？そうだねえ。
オペレーター: あとはー、あのお昼ご飯とか、いかがしますか？,オペレーター: あの、食べたいものとか、ありますか？,カスタマー: まあ3月だからー、まあちょっとあっちの方、寒いーので、寒いと思うんですよね。
オペレーター: はい。,オペレーター: はい。,カスタマー: こっちより。
オペレーター: はい。,オペレーター: はい。,カスタマー: 東京より。
オペレーター: はい。,オペレーター: はい。,カスタマー: 鍋もんとか、まあラーメンとかは、ない？
オペレーター: はい。,オペレーター: はい。,カスタマー: ラーメンと…。
オペレーター: はい。,オペレーター: ラーメンでございますか？,カスタマー: ラーメンないよね、多分ね、そっちの。
オペレーター: あのー、お酒はお好きですか？,オペレーター: あらー。,カスタマー: お酒飲めないんだけども、お米…あー。
オペレーター: こちらーあの一応チェックしておきますので、こちらにお立ち寄りいただければと思いますね。,オペレーター: と、それからー、えー、あとはーやっぱりお芋を使ったお料理、あー、お菓子であったりとかー、あとーこれは、んー。,カスタマー: あのー、できればなんか、はく、博物館とか美術館とか、ある、あるー、ある<>。
オペレーター: はい。,オペレーター: あ、そういったところ、見たいですか？,カスタマー: そうですね。
オペレーター: んー。,オペレーター: あははは。,カスタマー: 行くんだったらそういうとこー、あの、ない、ところ行きたい。
オペレーター: はい。,オペレーター: あと、なんか一応さっき仰られてたんですけど、動物園はいくつかありまして、んっとーカピバラとか見たければカピバラがいる動物園があるんですけど。,カスタマー: 行くんだったらね。
オペレーター: じゃ、これをチェック入れときますねー。,オペレーター: あとは特に何か、あのー見たいとか、あとは買いたいとかっていうのは、ございますか？,カスタマー: あの、一応あればいーんですけど、絵？
オペレーター: あとは特に何か、あのー見たいとか、あとは買いたいとかっていうのは、ございますか？,オペレーター: はい。,カスタマー: 絵画、とかって、絵画、美術館とか美術…ある？
オペレーター: あー。,オペレーター: はい。,カスタマー: あるんだったら。
オペレーター: はい。,オペレーター: あとは。,カスタマー: え、絵の、絵の、絵の美術展…。
オペレーター: よろしくお願いします。,オペレーター: では、えーと、今回の、えー、ご旅行、お決まりの範囲、具体的に教えていただきたいんですけども。,カスタマー: そうですね。ちょっと疲れを取りたいんで、源泉掛け流しのお湯に漬かれる温泉がいいなあと思ってるんですけけれど。
オペレーター: では、えーと、今回の、えー、ご旅行、お決まりの範囲、具体的に教えていただきたいんですけども。,オペレーター: 温泉ですね。,カスタマー: どこでもいいんです。
オペレーター: 特に、えーと、どうしましょう？季節って。,オペレーター: いつ頃。,カスタマー: 冬とかが乙かもしれない。
オペレーター: えー、結構ですね、範囲が広くなっちゃいまして。,オペレーター: どうしましょう、北か南か、お選びいただくと、もうちょっと絞れるかなって。,カスタマー: では、南がいいですかね。
オペレーター: では、いったん、あのー、どうしましょう、ちゅ、中国四国地方、九州沖縄地方、近畿とかあるんですけど。,オペレーター: どうしましょっか。,カスタマー: なんか、できれば、そのー、海の、に、ぎりぎり迫ってるとか、なんかありますよね、よくテレビで。
オペレーター: では、いったん、あのー、どうしましょう、ちゅ、中国四国地方、九州沖縄地方、近畿とかあるんですけど。,オペレーター: どうしましょっか。,カスタマー: そういう。
オペレーター: どうしましょっか。,オペレーター: あー。,カスタマー: 川でもいいんですけど。
オペレーター: えーと、海に近い。,オペレーター: えーと、山に近いは今すぐ出てきてたんですけど。,カスタマー: うん。まあ、山でもいいですが。
オペレーター: で、ちなみになんですけど差し支えなければ。,オペレーター: 貸切風呂っていうものがあるんですけども、あの、お連れさまなどいらっしゃいますか？,カスタマー: あ、妻と行こうと思ってる。
オペレーター: で、次、ちょっとお待ちください。,オペレーター: 貸切、例えば貸切がいいとかっていうのは、こだわりは特に、な、ないですか？,カスタマー: えっとー、ま、貸切のほうが、うれしいことはうれしいですね。
オペレーター: 一応、今の竹林のところが、えー、竹庭清正乃湯っていうところになります。,オペレーター: で、えー、竹林と今、海沿いというか水辺のそば、ご案内させていただいたんですけど、竹林よりは水辺のほうがいいですか、やはり。,カスタマー: そうですね。竹林は、まあ、いいですかね。フッフッフッ。
オペレーター: フフ。はい。,オペレーター: はい。,カスタマー: ウナギも食べてみたいなと、今、急に思って。
オペレーター: はい。,オペレーター: 四万十川ですね？,カスタマー: おまけにウナギも食べちゃい、えたらいいなと思いましたけど。
オペレーター: で、それの他に漢方薬使った薬湯、サウナなどありますんで、こちら、比較的ゆっくりできる施設になってますね。,オペレーター: こちら、どうでしょう？今、い、お二つ、えーと、四万十川付近で検索して出てきたんですけども、こちら、どち、どっちか。,カスタマー: どっちかというと前者のほうが、やっぱりいいですかね。
オペレーター: こちら、どうでしょう？今、い、お二つ、えーと、四万十川付近で検索して出てきたんですけども、こちら、どち、どっちか。,オペレーター: 前者？,カスタマー: 貸切。
オペレーター: ようになってます。,オペレーター: こちらと先ほどのだったら。,カスタマー: さらにこっちのがいいですね。
オペレーター: かしこまりました。ありがとうございます。,オペレーター: どういったご旅行をご希望でしょうか。,カスタマー: えっとー、出来れば、温泉とスキーを楽しみたいと思ってまーす。
オペレーター: はい。,オペレーター: いつ頃、ご旅行なさいますか。,カスタマー: えっとー、やはりスキーなので、冬ですね。
オペレーター: ナイター営業の日につきましては、お客様の方でご確認頂ければなあ、と思います。,オペレーター: はい、ではお客様こちらす、えー、雫石スキー場に行くとしてー 、他は、どういったものをご覧になりたいかご希望ございますか。,カスタマー: 引き続きほ、ほ、ほ、他の温泉に夜入りたいなーと思っているんですけど、
オペレーター: 温泉、雫石高倉温泉ご案内しましたけどー、 こちらの場合は露天風呂なんですね。,オペレーター: お客様、露天風呂がよろしいか、あるいは室内のお風呂がいいかー、そういったご希望ございますか。,カスタマー: あー、どっちでもいいですけど、露天風呂でじゃあ、お願いします。
オペレーター: 例えば郷土料理、まあ、物にもよるんですけれどもー、,オペレーター: わんこそばとか、それってちょっと、どうですかねー。食事じゃないよ、っていう方もいらっしゃるかもしれませんのでー、,カスタマー: いや、わんこそばはー、実はすごい気になってはいててー、
オペレーター: わんこそばとか、それってちょっと、どうですかねー。食事じゃないよ、っていう方もいらっしゃるかもしれませんのでー、,オペレーター: ええ。,カスタマー: うん。自分も子供も食べたいと思ってました。
オペレーター: あっ、あとですねーお客様、申し訳ございません。,オペレーター: もう一個、冷麺もあるようでー、盛岡、はい。冷麺とわんこそばだとどちらがよろしいですかね。,カスタマー: わんこそばの方が良いと思います。
オペレーター: ありがとうございます。,オペレーター: では、先ほどの話に戻りますとー、お夕食の方ですね、夕ご飯の方は、お魚ー、ご希望ですか。,カスタマー: スーッ、そうですねー。お魚が、おね、お願いしたいですー、魚でお願いしたいです。
オペレーター: その場合にー、お寿司がよいかー、あるいはー、あの、鮮魚の料理、が良いかー、あるいは、うどんすきのような,オペレーター: そのうどんすきの中に、海鮮が入っているような感じの場所とかも御座いますしー、いかかー、ですかねー、どう。,カスタマー: うどんー、がいいですね。
オペレーター: そのうどんすきの中に、海鮮が入っているような感じの場所とかも御座いますしー、いかかー、ですかねー、どう。,オペレーター: あっもう一度、お願い出来ますか。,カスタマー: あっ、うっ、うどんー、が良いです。
オペレーター: えっ、例えば―、あのー、岩手の、名産がー、こう、一挙に揃ったようなお店がいいかー、あるいは、おせんべいの専門店のようなものもあったりー、,オペレーター: どうでしょうか、専門店で買うのとー、それかー、まあ、いろんなー、ものから選べるようなー、その物産館のような所ですね、そういった所から、選ぶの、どちらが良いですかね。,カスタマー: あっ、物、産館ー、の方が良いですね。
オペレーター: こんにちは。,オペレーター: 本日は、えー、ご旅行の、えー、ご計画されているということで、えー、まず行先など、えー、決まってる範囲で教えていただいてもよろしいでしょうか？,カスタマー: そうですね、あの、青森の方、行ったことがないので行ってみたいなあと思ってます。
オペレーター: 青森ですね、はい。,オペレーター: 青森県、えーと、青森県、えー、具体的に青森県のどこまでっていうのは決まってらっしゃらないということでよろしいですか？,カスタマー: そうですね、あの、家が埼玉なもんで大宮が近いので、あのー、東北新幹線で行けるところぐらいから、お、まあそっからちょっと足を延ばしてもいいかなと思ってますけど。
オペレーター: あ、お一人ですね、はい、ありがとうございます。,オペレーター: で、季節とかもし決まってれば、まだ決まってない。,カスタマー: そうですね、まあ、うーんと、雪のころはやっぱりつらいんで、はるさ、春先ぐらいがいいかなあと<>。
オペレーター: ああ、雪を避けて<>、春先ぐらい、はい、かしこまりました。,オペレーター: で、えーと、じゃあお一人で楽しめるようなところのほうがいいですか？なんか具体的にやりたいことがあれば、まずお調べしたいと思うんですけど。,カスタマー: そうですね、あのー、まああのー、やっぱり青森といえばー、あの、ねぶた祭なのかなと思うんですけど、まあ、夏になりますし、まああの、すごい混むと聞いてますんで、しょっぱなですから、まあ、あー、ねぶたのなんかそういった出し物みたいなのが、なんかこう展示されて<>見えたりとかですね、あとはー、やっぱり津軽三味線の、おー、まあ、ライブをみ、見たりとかですね、あのー、あとよく分かりませんけど、大間のマグロなんかもたぶんどっかで捕れるんだろうから、まあ、海産物とかも美味しいのかなと思うので、そういったところ行ったりとかできたらいいかなあなんて、まあ、漠然と思ってるんですけど。
オペレーター: 三味線、ちょっとお待ちください、<>。,オペレーター: 三味線を、あのー、ライブでしたっけ、そういったのを。,カスタマー: そうですね、そういうの見ながら、なんかお酒でも食事でもとれるようなところがあったら行ってみたいなあと思うんですけど。
オペレーター: 本日はご利用いただきましてありがとうございます。,オペレーター: お客様どのようなご旅行をお考えでしょうか？,カスタマー: えとー、温泉、どっか温泉に行って、リラックスしたいなと思ったんですけど。
オペレーター: はい。,オペレーター: はい、お客様、何名様で行かれる予定ですか？,カスタマー: そうですね、一人で行けるところを探してます。
オペレーター: はい。,オペレーター: はい。,カスタマー: 例えば、秋とか、紅葉の時期？とかに良さそうな場所とか。
オペレーター: えーとですね、例えばなんですけれども、あのー、日本全国でですね、たくさんの場所がございましてー、はい。,オペレーター: あのー、できればなんですけれども、例えばあの、そうですね、例えば東日本側がいいですとか、西日本側がいいですとか、どちらか絞れますか？,カスタマー: うーん、じゃあ、東日本？のほうで。はい。
オペレーター: なんかもう、にご、にごり湯っていうんですかね、も、茶色、茶色のようななんか…。,オペレーター: あー、ありますよね。そういった風呂もありますけど、何か、こだ、こだわりとかありますか？,カスタマー: 温泉…できれば、源泉かけ流し？
オペレーター: はい。,オペレーター: あー、はい。,カスタマー: の、温泉がいいなーって思っていて。
オペレーター: 大雪こうげ、あ、大雪高原山荘というお宿の中にあります。はい。,オペレーター: ええ。こちらも、なかなかよろしいかと思いますね。はい。,カスタマー: じゃあ、その源泉かけ流しで、なんか色んなお湯に、色んなお湯と言うか。
オペレーター: はい。,オペレーター: はい。,カスタマー: 温泉街？みたいな所ってありますか？
オペレーター: はい。そういう感じの温泉ではありますね。,オペレーター: 硫黄の温泉？ですね。はーい。,カスタマー: 今聞いていて、そういう、いろ、温泉街みたいなところで、色んなお湯に、こう入って、ま、出て、ちょっとお茶したり、またお湯に入りに行ってお茶したりみたいなイメージとー。
オペレーター: はい。,オペレーター: はい。,カスタマー: あとは、もう、一箇所で、すごい落ち着いたさっきの秘湯とか、そういう雰囲気がありそうな所で、あの、1日ゆっくりするっていうのと、すごく迷ってるんですけど。
オペレーター: あー、そうですね。こちら、あの、登別温泉とだけなってますので、特に源泉かけ流しかどうかは特に書かれてはないんですよね。,オペレーター: はい。そうなんですよね。はい。,カスタマー: そしたら、一番の、その温泉に行くときの、これだけはっていうポイントが、その、私的には源泉かけ流しなので、はい、それに絞って探したいです。
オペレーター: ねー。そうですよね。,オペレーター: かしこまりました。あと何か、あのー、お客様の方で、あの、見たり食べたりとかそういったご要望はございますか？,カスタマー: 食べたりしたいですね。あ、なんか、ちょこちょこ色んなものを、甘いものとか。お茶するだけだったりでもいいんですけど。
オペレーター: お肉とか和食とか、そういったご希望はございますか？,オペレーター: あ、そうですか。,カスタマー: どちらかといえば、でも、うーん、ま、和食がいいかな、じゃあ。
オペレーター: はい。,オペレーター: そうですね、そうしますと、お客様、例えば蟹はお好きですか？,カスタマー: あ、蟹、大好物でーす。
オペレーター: あ、そうですよね。,オペレーター: 確かに。えーとそうですね、多分、コース料理は、に、2名様というところが多そうですよね。,カスタマー: 割と、その、お店側が一人でもオッケーっていう感じであれば、どこでも一人で入れるタイプなので、フフフ、問題ないんですけど。
オペレーター: アイヌ。あー！はい。,オペレーター: あ、ええ、ええ、ええ。,カスタマー: なんか、そういうものにちょっとでも関係する場所とか、触れられる場所とかってあるんですかね？
オペレーター: 本日はご利用いただきまして、ありがとうございます。,オペレーター: お客様、どのような旅行をお考えでしょうか？,カスタマー: そうですね、あまり具体的なことは決めてないのですが、
オペレーター: お客様、どのような旅行をお考えでしょうか？,オペレーター: はい。,カスタマー: えーと、一度、しまなみ海道周辺を
オペレーター: はい。,オペレーター: はい。,カスタマー: 旅したいと思っていましてー
オペレーター: はい。,オペレーター: はい。,カスタマー: えっと、しまなみ海道は、あのー
オペレーター: はい。,オペレーター: はい。,カスタマー: 行くとしたら自転車で、あのー、横断したいんですけどー
