one_previous_utterance,previous_operator_utterance,current_utterance
オペレーター: はい、もしよろしければこちらも、はい、おすすめでございます 。,オペレーター: うーん。,カスタマー: はい。あとですねあのーお客様、あのー青森県で何か他に見てみたいですとか、食べてみたいですとか、そういったご要望はございますか？
カスタマー: はい。,オペレーター: ええ、ええ、ええ。,カスタマー: ま、ま、やっぱり女性にもおすすめ、で、雨でも大丈夫ってゆう<>ね。
カスタマー: ふぅうーん。,オペレーター: ゴーヤとかは、食べれ、ますか？,カスタマー: はい、ゴーヤは大丈夫です。
オペレーター: ていうところがあるんですけど、熊はご興味あります？,オペレーター: うーん、まあ、あまりないかもしれないですね。,カスタマー: アハッ。
カスタマー: はい。1歳以上の方でも大丈夫という感じですね。,オペレーター: あー、なるほど。,カスタマー: こちらだと、まあ。
カスタマー: はい、お<>ます。,オペレーター: 和楽庵と、和楽庵というお店でございます。,カスタマー: え？
オペレーター: こういうほうがいいですよね。,オペレーター: はい、かしこまりました。,カスタマー: では、こちらが、えーと、薩摩黒豚とんかつ専門店黒かつ亭。
カスタマー: あ、そうですね、普段食べないので、こういう機会にありですね。,オペレーター: ええ、ええ、それではいくつか紹介させていただきます。,カスタマー: はい。
カスタマー: おおおお。,オペレーター: それ、何がさわ、何が触わるの？,カスタマー: 動物。
カスタマー: 両親もせっかくいるので、ちょっと、なんか、豪華な…豪華なっていうのあれですけど、ものが食べたいかなと思うんですけどー。,オペレーター: はい。,カスタマー: ああ、ああ
カスタマー: ほー。,オペレーター: ま、大体いつでも行ける。,カスタマー: うん。
オペレーター: あのー、女性の方にピッタリのお店でございます。,オペレーター: うんうんうん。,カスタマー: はい。
オペレーター: えー、ではえー、ゼロハチナナ,オペレーター: はい。,カスタマー: で、ハチイチイチ
カスタマー: うーん、まあ、あまりないかもしれないですね。,オペレーター: アハッ。,カスタマー: フ、フッフッフ。うん。た...。
カスタマー: 後の方がいいですね。,オペレーター: じゃあ一応、今のえっと。,カスタマー: ご案内したかちょっとごめんなさい。
オペレーター: そうしますと、じゃあ、お買い物スポットを、調べさせていただきますね。,オペレーター: はい。,カスタマー: じゃ、お土産は何かどういったジャンルがいいとか、って何かご希望ございますか？
カスタマー: はい。,オペレーター: はい、是非行かれてみてください。,カスタマー: はい。
カスタマー: あーはい 。,オペレーター: はい、はい、あと他にですね、えーっと例えば…。,カスタマー: えーとですね…はち、八戸名物そばかっけという料理がございまして、はい、こちらがですね、そばを切った時に出る三角形のかけらのことでございまして、出し汁で湯がいてネギ味噌で漬けて食べる、そういったお料理もございます。
カスタマー: そういうスポットもあるんですね。,オペレーター: ええ,カスタマー: あのー、例えばなんですけれどもー
カスタマー: 熊を食べ、食べるとこがないかなーって。,オペレーター: あー、なるほど。,カスタマー: うん。
カスタマー: んじゃまぁ調べれば出てくるってことで、ちなみに場所はどちらってだいたいってわかりますか？一応。,オペレーター: 場所が、これなんて読むんだろう、ミネ、ミネノベ？,カスタマー: ミネノベ。
オペレーター: だと思うんですけど。,オペレーター: はい。,カスタマー: 危ないという理由で昼だけにしてると思うんですけど。
カスタマー: 絵画展、はい。,オペレーター: ええ。それー、もし、あの、ちょっと今、場所出てきてないくて、あれなんですけども。公民館のほうを行ければ立ち寄ってみるというかたちで、いかがでしょうか。,カスタマー: ああ、はい。
オペレーター: 失礼いたしまーす。,オペレーター: こんにちは。,カスタマー: こんにちは。
オペレーター: やっぱりー、休みが入ってくると思うんですけれども。,オペレーター: ええ、ええ。,カスタマー: あー、なるほど。屋内の施設は、じゃ、あんまり。
オペレーター: はい、はい、はい、はい。,オペレーター: んーで、ちょっと一緒に行く者の中でですね、ちょっと希望してるのが、あの。,カスタマー: はい。
カスタマー: うん。,オペレーター: はい。,カスタマー: そうですね。
オペレーター: ああー。<>。,オペレーター: そしたら、ねえ、なんか、それぞれ選べるってことですよね。,カスタマー: そうですね。候補に入れておきますか。
オペレーター: 見るでもよろしいですかね、じゃあ、あの。,オペレーター: そう…。見たり…。,カスタマー: 遊ぶっていうよりは。
オペレーター: えーえーえー。,オペレーター: はい。,カスタマー: はい。
オペレーター: あのー、喜屋武岬という岬はございます。,オペレーター: 喜屋武岬。はい。,カスタマー: はい。こちらがですね、あのー、沖縄本島最南端に位置してございます。はい。
カスタマー: ええ。,オペレーター: 木材とかを運搬する運河としてですねー、設けられた所でして。,カスタマー: 明治の頃からもう既に船下りが人気だったようです。
カスタマー: でも全然あの、その先ほどの蟹丼とかも。,オペレーター: はい。,カスタマー: 全然飲まなくても楽しめると思うんで。
カスタマー: なるほどー、ほうほうほう。,オペレーター: でまぁ夏と言ってたので。,カスタマー: うんうん。
カスタマー: うん、うんうんうん。,オペレーター: そこも候補にお願いします。,カスタマー: はい。かしこまりました。
オペレーター: はい、すいません大変お待たせしました。,オペレーター: はい。,カスタマー: えーっとですねこちらがですね、はい。えーとですねすいません、あのーですね、今ただいま調べたんですけれども、ちょっと具体的なお酒…の品種がですね、ちょっとすいませんこちらの方で出てこなくてですね。
オペレーター: あ、こちらもそうですね、あのー、昭和33年創業で。うん。,オペレーター: へー。はい。,カスタマー: あのもう、ご主人が三代目？三代目…。
オペレーター: あのー、甘いメロンとかスイカが食べられるっていう、あのー、ところ。イチゴ狩りとかもできるんですが。,オペレーター: あー。はい。,カスタマー: ま、夏なので、ちょっとイチゴが終わってしまっているんですけれども。
カスタマー: うん。,オペレーター: うんうん。,カスタマー: 一応チェックだけ入れときますか？
オペレーター: あ、ここで大丈夫ですか、あ、はい。,オペレーター: では、えーと、ラーメン屋こちら、味噌ラーメンのよし乃アピア店でいただくということですね。,カスタマー: はい。
オペレーター: ええ。はいこちら朝の9時半から、はい5時までやっておりまして、大人様入園料は2500円ほどかかります。,オペレーター: 結構いいお値段ですね。へへ。,カスタマー: そうですね。あの本当テーマパークですね。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい。
カスタマー: あ、はい。ありがとうございます、そうですね、はい。,オペレーター: で、こちらですね、あの、朝10時から開いておりまして、年中無休ですので、はい、あのー、お時間等もあまり気にせずですね、あのー、朝市ご覧になった後にすぐお召し上がりになれるかと思います。,カスタマー: はい。
オペレーター: ええ。はい、そういったものもご購入できるお店もございますしー。,オペレーター: ふーん。,カスタマー: はい。あと、なにか。そうですね、お菓子…お菓子ですと、例えば、和歌山市観光土産センターさん。
オペレーター: あのー、ほんとここでしか食べれませんのでー,オペレーター: はい,カスタマー: はいあの、是非、あのー
オペレーター: そうですね。どういった点が何か気がかりとかございますか？,オペレーター: えーと、まずはそのメニューの量というか、どういうボリュームとかが分かりづらいというか、ちょっとイメージしづらいというのがあって。,カスタマー: ええ。ええ。ええ、ええ。あ、ええ、ええ。ええ。
カスタマー: はい。,オペレーター: お客様、東北方面なんですけれども。,カスタマー: はい。
オペレーター: 十勝川アクアパークっていうところで、あの、河川敷で行われるんですけど。,オペレーター: うん。,カスタマー: あの、パークゴルフとか。
カスタマー: はーい。,オペレーター: で、わ、えーと。,カスタマー: まず、最初に富山と出てきたので。
カスタマー: ぼーくーかーあれかね、居酒屋みたいにー、いろんなものがおいてある店の方がー…、結局…、良いかな…？うん。,オペレーター: あー、そうかもしれない…。,カスタマー: 一応なんか泡盛のお店でしたりとかー…、泡盛とかってお飲みになられますかー？
オペレーター: で、一応こ、えっとー先ほどと違って今のところだと。,オペレーター: お食事が。,カスタマー: ある、あって。
オペレーター: えーえーえー。,オペレーター: うん。,カスタマー: はい、なかなかいいかと思うんですけれども、はい。
オペレーター: あ、お車なんでお酒は飲めないと思うんですけど、一応。,オペレーター: あーまあ食べるとしたらもう夜ですよね。,カスタマー: その泊まる時にまあそのなんだろう、車停めてからちょっと歩いていけるみたいなとこだったらいいですね。
オペレーター: えーと、ま、いくつかございまして、例えばですね、えーと、こちらが、と,オペレーター: ま、しゅく、あっと、これ中国地方だ、<>すいません、少々お待ちください。,カスタマー: はい、えーとですねー
オペレーター: あのー、はな、あの、町の花に指定されていることもある洋ランですね。,オペレーター: へー。,カスタマー: 洋ランの産地っていうことで、ランとか、あの、ご興味あれば、なん、なんか見に行くと楽しいんじゃないかなって思うんですけども、いかがですか？
カスタマー: はい、ええええ。,オペレーター: はい。,カスタマー: そうですね、こちらですね、小田原、やはり鮮魚のお店は多いんですけれども。
オペレーター: はいはい、あー、なるほどなるほど。,オペレーター: じゃあちょっと、えー、ショッピングスポットを検索させていただきますね。,カスタマー: お願いします。
カスタマー: あでも,オペレーター: 時間、営業時間のほうが、たぶん二つ目の方が、結構長かった、お昼の時間帯って長かったですよね？,カスタマー: あー、そうですね。朝からやってるんで、もう、朝ごはんとして食べることもできるかと思いますね。
オペレーター: なんか民謡みたいな感じので。,オペレーター: うん、うん、へえー。,カスタマー: ちょっとそういった写真は載ってないんですけど、おそらくそういう、あのまあ、ライブも楽しめるみたいな、お店みたいですね。
カスタマー: あ、そうなんですね。はい。,オペレーター: ええ、あの、ちょっとすいませんが、申し訳ないんですけれどもー。あの、主に観光地で、はい、でお願いしたいんですけれども。,カスタマー: あ、いえいえ。うんー。
オペレーター: あと、海鮮丼なんかも、あるみたいです。,オペレーター: ああー、いいですね、はい。,カスタマー: 一応今、ふたつご紹介したところが、まあ割と、そのー、良いお店、というか。
カスタマー: はい。,オペレーター: あー。,カスタマー: はい、あったりですね、まあ、先ほど申し上げました貸し切りの露天風呂があったり
カスタマー: そう、なんか景色がいいとこがいいなって思ってます、はい。,オペレーター: あー、少々お待ちくださーい。,カスタマー: えーとー、フランス料理で、えーと。
オペレーター: ええ、ええ、ええ。,オペレーター: あ、ええ、あのー。,カスタマー: はい。
カスタマー: あは、はい、はい。,オペレーター: はい。,カスタマー: そうですね、神社も結構ございまして、お客様お寺の方をご希望ということですよね、神社ではなくて。
オペレーター: はい。あのー、見た感じは普通のお好み焼きっぽいんですけれども。,オペレーター: はい。,カスタマー: んー、でも、おそばとかは入っているのでー。あの、焼きそばが入っ…挟まった感じのものですね。
オペレーター: おし、帯広十勝とかそっちのエリアの、あのー、になりますんで。,オペレーター: はい。,カスタマー: そこ中心に、あのー、いろいろ観光地、お調べしていこうと思うんですけども。
オペレーター: で、お休みもないのでー。,オペレーター: これやっぱ予約が必要でしょうねたぶん、<>。,カスタマー: 予や…くは書い…てないですね。<>。
オペレーター: あー。,オペレーター: あー、そうですか。,カスタマー: はい。
カスタマー: はい,オペレーター: よろしいでしょうか？,カスタマー: あ、はい、わかりましたー。
オペレーター: そうですよねー。はい。,オペレーター: はい、釣り堀があると書かれてますね。<>。,カスタマー: そのー、あ、その行く時期、夏は、その果物狩りは、こう、サクランボっていうことなんですよね？きっと。季節によって。そうですか。
カスタマー: うーん。,オペレーター: 静かな所でー、あのー、パフェでお茶を飲んだりとか、ハーブティーとか、いかがですか？,カスタマー: あー。
カスタマー: んー。,オペレーター: じゃあこちらって形でよろしいでしょうか？,カスタマー: はい、じゃあそうしてください。
カスタマー: ええー。,オペレーター: ええ<>でございますね。,カスタマー: そうですね、あの、沖縄、冬でもまあもちろん本州よりあったかいですし、現地に行くとお楽しみいただけるかもしれませんよね。
オペレーター: で、今あの。,オペレーター: もうそのまま食べるもの、の流れでえーと。,カスタマー: はい。
カスタマー: はい。,オペレーター: 例えばなんですけれども。,カスタマー: はい。
オペレーター: はい。ただですね、あのー、少々お高いんですけれども。はい。あのー、葛切りが1430円。はい。で、あんみつが1320円となっております。,オペレーター: うんうん。,カスタマー: うんうん。
カスタマー: あ、そこ行きたいです。,オペレーター: うん。あの、北海道産の新鮮なコクのある牛乳を使ったー。,カスタマー: はい。
カスタマー: ああ、はい。,オペレーター: 日本酒を、あのー、お買い物。一応、えっと、白瀧酒造さんで、えーとー、見る、あの、お買い物をするっていうかたちでよろしいでしょうか？,カスタマー: そうですね。はい。
カスタマー: あ、地平線が見えるかどうかですよね。,オペレーター: あ、地平線、そうだ。,カスタマー: 地平線ですね。地平線。
オペレーター: はい。失礼いたします。,オペレーター: 本日はご利用頂きましてありがとうございます。,カスタマー: お客様ご旅行の相談でよろしいでしょうか。
オペレーター: 閉店日は、えーと、無休ですので、大体いつでも、ご利用いただけるかと思います。,オペレーター: ああ、安心です。,カスタマー: はい、あ、ではえーっと、そろそろ時間の方がきてしまいましたので。
オペレーター: ほど。,オペレーター: 行った先になります。,カスタマー: さっきのとこ、こっちのだとなんかどっちが魅力的とか。
オペレーター: はい。あのー、洋ランの産地って、よく、私、知らなかったんですけど、結構、広島が有名みたいですね。,オペレーター: はい。,カスタマー: そうなんですか。私、花も好きなので、あのー。はい、そこ行ってみたいですねー。
オペレーター: ええ。ええ、ええ。,オペレーター: <>のー、実はなんか、幼少期にちょっとあのー,カスタマー: ええ。
オペレーター: うーん。,オペレーター: なるほどですね。,カスタマー: うん。
オペレーター: はい、かしこまりました。では、京都なんですけれどもー。,オペレーター: 例えば、京都の中心部がよろしいか、まあつまり京都市でございますね。,カスタマー: はい。
オペレーター: あー、なるほどなるほど。,オペレーター: そういうとこでもいいですね。,カスタマー: ちょっと今、食べるというカテゴリーで、検索させていただいてます、ちょ、見るというカテゴリーに変えて。
オペレーター: えぇ。,オペレーター: 福岡とかでも良いんですけど。,カスタマー: はい。
カスタマー: お、お庭とー、お寺～のあとー…、がー。,オペレーター: はい。,カスタマー: <>、まあ、わ、うんも、私どうつけると、はや、早起きな方ですけどー、午前中にその二つ回って。
カスタマー: あ、はい。,オペレーター: ええ、ええ。,カスタマー: <>らー、あのー、例えばホッケとかー、あとー、お刺身の盛り合わせみたいなもの？
カスタマー: ええ、ええ。,オペレーター: あのー、ビアレストランでいろいろ、ジンギスカンとか焼肉とか、和食とか色んな物が楽しめるような感じなんですけれども,カスタマー: あー、はい。
オペレーター: 鮮度抜群の魚介。,オペレーター: って書いてますね。,カスタマー: はい。
カスタマー: あ、器具？卓球の道具とか。,オペレーター: ああ、そうですか。,カスタマー: なんか、お肌に優しい弱アルカリ性の温泉だと書いてあります。こちらは、あの、朝の10時から夕方の18時までな、なんですけれども、お値段は500円でございます。
オペレーター: 結構なんかミュージアムも充実してるって書かれていますので、こちらも合わせてご覧になったらいいんじゃないかなぁと思われるんですけれども、いかがでしょうか？,オペレーター: はい。,カスタマー: そうですね、それもこう駅から近い感じなんですかね？やっぱり。
カスタマー: はい。,オペレーター: ここって他になんか、あのー、レストラン以外の施設が付いてたりするとこですか？ビール園って。,カスタマー: あの、バーとか、あの、ま、居酒屋、ですね。あとー
カスタマー: はい。,オペレーター: ええ、あのー、あの、こちらの写真ではね、すごい美味しそうに写ってるんですけれども、フフ。,カスタマー: ハハハハ。え、本屋さんなんですか？
カスタマー: 熊鍋とか食べちゃいたいなーんて。,オペレーター: はい？,カスタマー: 熊を食べ、食べるとこがないかなーって。
カスタマー: そうですね。具体的な魚の種類とかをもう少し教えていただけると嬉しいです。料理の。,オペレーター: ええ。そうですね、ええ、ええ、私共のほうに、えーございます情報ですと。,カスタマー: はい。
カスタマー: うーん。,オペレーター: 高級な感じのお店と、ここは懐石なんですけれども、あとは、しゃぶしゃぶとか。,カスタマー: はい。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい。はい。ただ今、お調べいたしましたところ、はい。あのー。
オペレーター: うん。,オペレーター: じゃあすいません、ちょっとお時間が、えっとー、来てしまったので、えっとー、これで…、あの、ご案内の方は、以上になります。,カスタマー: はい。
カスタマー: うーん。,オペレーター: ん、テイザンケイの近くですと、2件、3件あるんですけど、これ、特に、こう、日本の人が作ったカレーというのと、インド人が作ったカレーというのがあって。,カスタマー: うん、うん。
カスタマー: あーもう是非そこ行きたいですねー。,オペレーター: じゃあ、えっとー、イエスナンバビルをチェックしときますね。,カスタマー: はい、お願いしまーす。
カスタマー: あー、はい。,オペレーター: 山菜そばとかうどんとか。,カスタマー: あー。
オペレーター: <>まぁ海鮮であればいろんなものが食べられて、お昼もございます。,オペレーター: ほー。,カスタマー: うんうん、しゃぶしゃぶって別にこうぶりしゃぶとかそういうものだったりするんすか？普通にお肉。
オペレーター: はい。お客様、あのー、京都に行かれまして、あのー、何か見てみたいですとか、そういったご要望はございますか？,オペレーター: とー、紅葉を見に行きたいんですけれども。,カスタマー: はい、かしこまりました。今お調べ致しますので、少々お待ちください。
カスタマー: ヤ。はい。,オペレーター: あのー、ま、いろいろ滑り台とかジャングルジムとかあって。,カスタマー: んー。なおかつ、その、芝生もあり。
カスタマー: 器が選べるんですか？,オペレーター: そう、器が選べるみたいです、はい。,カスタマー: へー。
オペレーター: こちらまあ、あのー、注文受けてから炊くので三十分ほどお時間はかかるんですけど、そのかわり炊き立てのものが食べられます。,オペレーター: こういったのって、お好きですか？,カスタマー: そうですね、なんか美味しそうな感じがします。
カスタマー: なんだ、ん、時間限定のケーキ、時間が限定だけあってちょっと食べとかな、き、損だみたいな気にさせられますね。,オペレーター: ンフ、そうですね。,カスタマー: イカナイですね。ヘヘ。
オペレーター: で、こちらがですね,オペレーター: あのー、雪印ってゆう、あのー、有名な、あの、乳製品を扱った会社の本社がございましてー,カスタマー: はい
カスタマー: そうですね、あのー、ざっくりしか決めてないんですけどー。,オペレーター: ええ。,カスタマー: ええ、大丈夫ですよ。
オペレーター: はい、そうですね、あと、そうですね、こちらでお勧めできるところで。,オペレーター: はい。,カスタマー: はい。
カスタマー: 行きたいと思います。はい。,オペレーター: 大丈夫、大丈夫ですか？酔わ、酔われないですかね？,カスタマー: そうですね。でも、長時間じゃないので大丈夫です、全然、はい。
オペレーター: こちら、もうちょっとご説明、えー、しましょうか？,オペレーター: あ、お願いします。,カスタマー: はい。
オペレーター: 結局なので、あのトルコとはあんまり関係ない気がするんですけども。ええ。,オペレーター: あはは。,カスタマー: ただあの、一応これが、あの長崎のトルコライスということで。
オペレーター: ええ、ええ。,オペレーター: なんか、ゆ、よくわからなくってー、あのー…。,カスタマー: ええ、ええ。
オペレーター: あ、は…いまあのー、一応、こちら、ハツ、サクラ…サクラとなって<>…。,オペレーター: うん。,カスタマー: サク…サクラとなってる？あ、そうなんですね。あー、はあ、はあ、はあ、はあ。
カスタマー: うん。あ、こういうところがあるの。,オペレーター: ここであれば、お風呂。,カスタマー: うん。
カスタマー: あっ、それもなんか楽しそうですね。え、はん<>なんだ、そのジェットコースターみたいな怖さ、はは。みたいなのはないんですね、保津川下りとか言うと。,オペレーター: ええ、ええ、ええ。,カスタマー: あ、いえいえいえ。
カスタマー: ええ。,オペレーター: あ、はい。,カスタマー: ああ、そこに行ってみたいですー、ぜひ。
オペレーター: はい、かしこまりました。,オペレーター: はい、ではお伝えいたします。,カスタマー: えー、0167、
カスタマー: はい。あ、はい、そうですね。ちょっと一休みするには最高ですね。,オペレーター: はい。ええ、ええ。はい。そうですね、あのー大変便利だと思います。,カスタマー: はい。
オペレーター: で、えーと、庭園のほう、えー、今ご案内させていただいたんですけど、他に何か見たいものとか、ございますか。,オペレーター: 一つには、やっぱり北海道なんで地平線が見たいのと、ま、今のところで見れればそれでいいんですけど。,カスタマー: うんうん。
オペレーター: の温泉地でございまして、はい、もしよろしければこちらおすすめなんですけれども、はい、ご興味ございますか？,オペレーター: そうですね、まぁちょっと。,カスタマー: はい。
オペレーター: うーん。はい、でこちら朝8時半からやっておりまして、はい、あのー福岡の中洲というところがありまして、そこからすぐの所の、はい、お店となっております。,オペレーター: へぇ。,カスタマー: はーい。こちら明太子、色々種類がございまして。
カスタマー: はい,オペレーター: あの、是非、あの、お勧めしたいんですけれども,カスタマー: はい
オペレーター: こちらはご存知でしょうか？,オペレーター: 知らないです。,カスタマー: 知床岬っていうのが、あの知床半島の、ほんと先端の岬、になります。
カスタマー: いや和菓子はー、ちょっと僕は…。って僕、僕自身がちょっとね。フフッ。,オペレーター: 駄目ですか。アハッ、お、おみ、お土産ですけど。あの、あとワイナリーとかもありますが。,カスタマー: お土産ね。あ、お土産ね。
オペレーター: あ、お客さま、すいません。ただ今ですね、あのー、お調べしましたところ。,オペレーター: はい。,カスタマー: あのー、水族館が見つかりまして。
オペレーター: なんか、いくつかこう写真が掲載されてるんですけど、かなり綺麗な、うーん、感じでー、写真を楽しまれるにはすごいいいんじゃないかなと思いますが、いかがでしょうか？,オペレーター: ほー、あ、いいですね、はい。,カスタマー: それとも、もうちょっとなんか札幌から離れたところとかーでもお探しすることもできますけど、どうでしょうか。
オペレーター: こちらもそうですね、あ、あの和歌山県有田市にございまして、あのー、有田みかん400年の歴史がございます。,オペレーター: はい。,カスタマー: はい。
オペレーター: あのー、いかがでしょうか、なんかすごく面白そう、<>なんですけど面白そうですね。ふんふんふん。,オペレーター: そこはーもう、はい。,カスタマー: こちらはあの9時半から5時まで開館してますが。
オペレーター: ありがとうございます。では嵐山でいくつかお調べしてもよろしいでしょうか？,オペレーター: はい。,カスタマー: はい、ありがとうございます。
オペレーター: あ、いいですねー。,オペレーター: ですね、フフフ。,カスタマー: フフ、すごい楽しみですね。
オペレーター: スーッ、と…。,オペレーター: お値段が、載っ…、てなくてですね。,カスタマー: なるほどなるほど。じゃ実際に問合せてからみたいなとこですよね。
カスタマー: うーん。,オペレーター: あぁ、ごまさば。,カスタマー: はい、ええ。そういったあのー料理を食べさせてくれるお店もございます。
オペレーター: ですね、はい。小田原文学館に行かれて最後にこちら。,オペレーター: 星地球博物館の方に行かれるということで。か。,カスタマー: あっはい。はい。
カスタマー: ふーん。,オペレーター: うん。,カスタマー: うん。
オペレーター: えぇ、はい、こちらもお昼に行かれるのであればこちらのお店が、はい、おすすめではあるんですけれども。,オペレーター: うん。,カスタマー: はい。
オペレーター: はーい。,オペレーター: はい、そうですねやはり伊豆ですとあの海産物。,カスタマー: うんうん。
カスタマー: あ、お願いします。,オペレーター: はーい。,カスタマー: では、えーとー、<>、うどんで調べますので、少々お待ちください。
カスタマー: 保津峡、はい。,オペレーター: はい、こちら川下りの方は四千百円、お一人様でございますね。,カスタマー: はい。
カスタマー: はい。,オペレーター: はい。樺太犬、太郎の剥製もございまして。,カスタマー: はい。
オペレーター: はーい。,オペレーター: ふーん、ああ、いいねえ、それ。,カスタマー: でも、世界さん、三大珍獣がいるっていう。
カスタマー: うんうんうん。,オペレーター: 面白そうですね。,カスタマー: うん。
オペレーター: はい、中華街の中にあるっていうかたちなので、たぶんそんなに大きな建物ではないのじゃないかって思うんですけれども。,オペレーター: ふんふんふん。,カスタマー: ただあのー、アクセスはよさそうですね。
カスタマー: あのー、昭和天皇も召し上がった物を、あの、私たちもいただけるということであれば,オペレーター: ええ、ええ,カスタマー: はい
カスタマー: うーん、あー。,オペレーター: あー。,カスタマー: そのーほかにもですねー、なんか沖縄料理ということでー、たまごのなんていうんでしょう、スクランブルエッグの上に、えー、スパムっていうんですかね、それがのって、そうですそうです、ただちょっとなんか、沖縄まで行ってこれ食べる<>感じもしますしー、ええ、ちょっと待ってくださいねー、あのー、私共のほうで調べてみますので、お待ちくださいませ。
カスタマー: うん。ううーん。,オペレーター: もしくは、こう、ま、舞茸とかトッピングするのかっていう、その、いろいろのせるものを選べるみたいな形になってるみたいなんですけど、とてもおいしそうですよね。,カスタマー: うん。
オペレーター: 日本酒ですか？少々お待ちくださいませ。,オペレーター: ワインとか飲まない人が多いんじゃないの？,カスタマー: あ、はい。あ、日本酒ございました。
オペレーター: こちらが、えー、創業45年。,オペレーター: ほぉーん。,カスタマー: 地産地消の沖縄料理が味わえるお店、となっております。
カスタマー: はい。,オペレーター: では京都にいつ頃ご旅行なさいますか？,カスタマー: えーとー春ーですね。
カスタマー: うんうんうん、じゃあそのまなんていうか、平面の絵とかだけじゃなくてそういったものもあるということで、あー、なるほど。,オペレーター: だけじゃないです、はい、はい。,カスタマー: 気になりますねー、はは、かなり、うんうん。
カスタマー: うん、うんうん。,オペレーター: まわられることになっておりますのでー,カスタマー: はい、はい。
カスタマー: ほー。,オペレーター: そどっちをあのメインで作ってるとかもちょっとわかりかねるかたちですね。,カスタマー: <>、ホームページはあるんですか？
オペレーター: えーと、あったところですかね、クリスパナガボリ。,オペレーター: はーい。,カスタマー: こちらの説明を読ませていただくとー、平成9年地下鉄長堀鶴見線、緑地線のー、開通に伴い誕生したって書かれております。
オペレーター: あって。,オペレーター: まあでも、割と本当に立ち寄りスポットみたいな。,カスタマー: ところですね。
オペレーター: はい。,オペレーター: と、この冬に、あのー、ま、親孝行じゃないですけれども。,カスタマー: はい。
カスタマー: うん。ほー。うーん。,オペレーター: で、こちらが、ま、あのー、シープドッグ、あの、羊と犬の、ま、ショーみたいなのがやってるので。,カスタマー: うん。
オペレーター: ま、お子さまも、あと、ベビーも、ということで、あの、ご利用できます。,オペレーター: うんうん。,カスタマー: あ、そういうふうに書いてあると安心ですね。
オペレーター: あの食事を現代風にアレンジした。,オペレーター: へぇー。,カスタマー: 味噌汁のようなものもあるようで。ちょっとしたおやつ感覚ではこの金次郎カフェ結構いいかなと。
カスタマー: はい。,オペレーター: あっ、わかりましたー。,カスタマー: で、えーとー…。
