text,label,predicted_label
オペレーター: ああ、ええ、ええ。 [SEP] カスタマー: そういうのが、なんか、こう、たくさん集まっているようなお店ってありますか？,0,1
オペレーター:はい、かしこまりました。ご家族様4人で北海道旅行ですね。 [SEP] カスタマー:はい。,1,0
オペレーター: 奇岩。 [SEP] カスタマー: ひがんね、ひがんて。,0,1
オペレーター:あと、なんか一応さっき仰られてたんですけど、動物園はいくつかありまして、んっとーカピバラとか見たければカピバラがいる動物園があるんですけど。 [SEP] カスタマー:行くんだったらね。,1,0
オペレーター:そうですね、ちょっとまあ体力を使うような<>それにお客様ちょっと冬ですと、このセグウェイ、外は寒いかもしれませんね。 [SEP] カスタマー:あっは、あーそうですね、あんまり汗かくことはしたくないんでー。,1,0
オペレーター:あるいはぼんやりとどういったことしたいなとかあればこちらの方でお調べ致します。 [SEP] カスタマー:あっ、はい。えっとそうですね、何か所か<>とこがあるんですけど,1,0
オペレーター:はい。 [SEP] カスタマー:新潟県の。,1,0
オペレーター:ずんだのお餅とかのがいいですかね。 [SEP] カスタマー:ふっ、いいです。,1,0
オペレーター: ええ、ええ。 [SEP] カスタマー: あ、良いですね、フルーツ狩り。,0,1
オペレーター:フフ、すごい楽しみですね。 [SEP] カスタマー:なんか、甘いもの？なんか。,1,0
オペレーター: で、じゃ、こちらも一箇所、行く場所に追加なさいますか？ [SEP] カスタマー: あ、はい、お願いします。はい、ぜひ、はい。,0,1
オペレーター:神奈川県ですと、あのー、神奈川県だと、美術館とかが多いんですけれども。 [SEP] カスタマー:あ、いいですね、美術館。,1,0
オペレーター: 卓球もあるかもしれないですね。 [SEP] カスタマー: え、でも器具とか無い…かな。無い、無いとは思うんだけど。,0,1
オペレーター:ではー、えー、早速なんですけども、えー、行先…、えー決まってれば、まず、教えてい…、ください。 [SEP] カスタマー:沖縄…県ですね。,1,0
オペレーター:あ、お客様、麺類はお好きですか？ [SEP] カスタマー:あ、好きですー。,1,0
オペレーター: ええ。かしこまりました。では夕ご飯でございますね。どういったお料理がよろしいですか？ [SEP] カスタマー: えーっと、そうですね、そうですね。,0,1
オペレーター:では、こちらも行先に入れておきますか。 [SEP] カスタマー:はい。,1,0
オペレーター:あ、良かった、そうしますと、ゴーヤチャンプルも食べれるしー、島豆腐も食べれるしー、もとぶ牛も食べれるしー、アグー豚も食べれるしー、やんばる若鶏も食べれ、たぶん全部は食べれないですけれども、ええ、そうですよねー<>。 [SEP] カスタマー:あっはっは、ちょっと食べきれるか分からないけど、でもこのお店いいですね。,1,0
オペレーター: お買い物で。 [SEP] カスタマー: 行きます。,0,1
オペレーター:あらー。 [SEP] カスタマー:お酒飲めないんだけども、お米…あー。,1,0
オペレーター: えーと、では、ちょっと今、あのー、検索させていただきますが、のんびりっていうと、ま、こ、何か温泉入ったりとかっていう、何かありますか。 [SEP] カスタマー: あー、そうですね。それもいいです。そうですねー。なんか。,0,1
オペレーター: えっと、あ、そうですね。ちょっとじゃああの、お子様向けでもう一度検索してみますね。 [SEP] カスタマー: あんまり大人っぽすぎる雰囲気だとちょっと浮いちゃうかなと思って。,0,1
オペレーター: はい。今お調べします。 [SEP] カスタマー: え、なんか美味しいのあるんですか？,0,1
オペレーター: そういった灯台とかって興味あります？ [SEP] カスタマー: そうですねー、灯台の中とかって入れるんですか？,0,1
オペレーター: はい。 [SEP] カスタマー: なんか、あのー、アスレチックみたいな、子どもが遊ぶものもありますか。,0,1
オペレーター:はい、じゃあこちらチェック入れておきますね。 [SEP] カスタマー:お願いしまーす。,1,0
オペレーター:ちょっと、でも、お洋服見るって感じじゃないですね。 [SEP] カスタマー:そうですね。ヘヘ。うんうん。観光だから。うん。,1,0
オペレーター: えーっといかがなさいーますかねもうちょっと…、お料理～…、一応探してみますか他のお店とかー。 [SEP] カスタマー: お、お庭とー、お寺～のあとー…、がー。,0,1
オペレーター:はーい。じゃ、こちらも1つ、候補の1つとして、はい。 [SEP] カスタマー:お願いします。,1,0
オペレーター: あ。 [SEP] カスタマー: のイメージがあるんですけど。,0,1
オペレーター: はい。 [SEP] カスタマー: 夜景がきれいで有名なんですね？,0,1
オペレーター:ではあのジョイナス森の、えー彫刻公園をあのチェックしておきますね。 [SEP] カスタマー:はい、お願いしまーす。,1,0
オペレーター: あります？ [SEP] カスタマー: うーん、まあそんなに他にこう見るものがなければ。,0,1
オペレーター:あのー、パフェ？パフェとかに、あの、そうですね、アイスクリームも有名ですね。 [SEP] カスタマー:あ、そこ行きたいです。,1,0
オペレーター: 色ってお分かりになりますか？ [SEP] カスタマー: なんかね、紫な感じですかね。,0,1
オペレーター: ええ。 [SEP] カスタマー: ひとつぐらいなんか聞いておきたいなって気持ちもするんですけど。,0,1
オペレーター:はい [SEP] カスタマー:ただー、えっとー,1,0
オペレーター: こういったところはご興味ございますか？ [SEP] カスタマー: はい、海鮮料理大好きなのでぜひお刺身おいしいのが食べたいです。,0,1
オペレーター: はい、ちなみに確認なんですが、えー、ご旅行って週末でしょうか、平日に行かれるか、どち、どちらかってもうお決まりですか？ [SEP] カスタマー: いや、まだ決まってないんですが、どっちでもいいかなと思ってます。,0,1
オペレーター:はい、じゃ、あのこちらも、はい、あの、候補の1つとして、はい、押さえておきますね。 [SEP] カスタマー:お願いします。,1,0
オペレーター: あと、えーとね、あのー、ポッキーとか、あのー、そのほんとグリコのお菓子がいっぱい置いてありまして。 [SEP] カスタマー: あ、行きたいです、そこ、フフフ。,0,1
オペレーター: ええ、ええ。はい。はい。はい、はい。 [SEP] カスタマー: で、えっと、山程あると思うんですけれども、そうですね、うーん、あの、まあ冬でもえっと参拝できるような。,0,1
オペレーター: わかま、わか、うん。 [SEP] カスタマー: あの、あ、うん、若松は福島なんだけど。,0,1
