operator_utterance,customer_utterance
オペレーター: そうです、ですので、お客様が、もしですね、短めのお時間で温泉をお楽しみいただける場所をお探しでしたら、先ほどの市太郎の湯の方がいいかなあという気がいたします。,オペレーター: はい、左様でございます。もう少し詳しいことをお話いたしましょうか。
オペレーター: 大阪、大阪のほうにもですね、あのー、串カツ屋さんがあるんですけれども、そちらも調べてみましょうか？,オペレーター: はい、お待たせいたしております。少々お待ちください。
オペレーター: なるほどなるほど。,オペレーター: 教室的な場所ですと。
オペレーター: えー、山菜料理のお店がありまして。,オペレーター: えーとこちら、地元で採れたコメナスの田楽や、ヤマメの塩焼き。
オペレーター: ではないと思います、レストランと書かれておりますので、はい。,オペレーター: あのーちょっと、えー、懐石とか言っても、あのーホテルの中にあるあのーレストランっていった雰囲気ですかね。
オペレーター: 散策するような感じとなっております。はい、ご興味ございますか？,カスタマー: はい、楽しそうですね。
オペレーター: 法善寺横丁やき然というお店がございまして、,カスタマー: はい、うんうん、はい。
オペレーター: はい、じゃあこちらも、こちらメモします。,オペレーター: じゃあ、今、えーと、ちゃんぽん、井出ちゃんぽんさんと、こちらの北浜温泉をメモしてるんですが、漏れってありました？今までの。
オペレーター: はい。,オペレーター: そうですね、ただいま調べましたところ。
オペレーター: うーん、,オペレーター: 遊ぶとなると。
オペレーター: うーん。,オペレーター: はい。現代アートの。
オペレーター: あ、はいはい。,オペレーター: はい、アスレチックですね。
オペレーター: はい。,カスタマー: ほ、ほう。
オペレーター: 本日はご利用いただきましてありがとうございます。,オペレーター: えっと、ご旅行の予定とゆーか、あの、どちらの方面に行きたいとか、あの、ございます、か？
オペレーター: 一応、えっと、営業時間が、あの、朝の9時から17時までで、やっぱりこちらは火曜日がお休みでございます。でー、火曜日がもし祝日の場合は翌日がお休みで、入園は無料となっていますので、もしあのちょっと気に入らなければ、そのままもうすぐ出てしまっても、あの、お金かからないので、あの、楽しめると思いますので。,オペレーター: あ、あのー、船か、渡し船か、あとなんか、橋があるっていう風にさっき書いてありました。
オペレーター: スーッ。,オペレーター: なんという字なん…、ちょっとあの…、説明出来ないんですけどー、まあこちらが。
オペレーター: しかもですね、こちら鶏ガラとか牛乳とか27種類の生地、まぁ材料<>で生地を作っていると,オペレーター: しかもその、なんていうんでしょうか、あのーおいしければいいと思うんですけれども、ちょっと冒険になってしまいますよね
オペレーター: そうですね。海産物と日本酒もすごい合いますもんね、食べ物として。,オペレーター: そしたらじゃあやっぱり、秋田県で…。
オペレーター: ではちょっと、お酒についての記載が特に書いてないんですけど、おそらく、まあでも、夜…。,カスタマー: まあ、ある、あるでしょうね、<>。
オペレーター: はい、はい、ただいまお調べいたしまーす。,オペレーター: はい、お客様、あのー九州なんですけれども、例えば九州のどのあたりとかそういったご要望はございますか？
オペレーター: はい、大変お待たせ致しました。ただいまですね、あの、お調べしましたところー、美濃山温泉館というところがございましてー、はい,オペレーター: こちらはですねー、あのー、広島市内にございます。
オペレーター: なんか、ここは、あの、カキと魚貝のワイン酒場みたいな感じなんですけど。,オペレーター: ねー。
オペレーター: <>、えー、内容は瀬戸ないの、えあ、瀬戸内の食材を活かしながら細部までこだわった、えー、かなり綺麗な感じのコース料理を、いただけるレストランとなっております。,オペレーター: こちら、えっと、ビルの上にありますので、結構えーと、高松市の夜景なども、楽しめ<>れるような感じとなっております。
オペレーター: ね。ラーメンは630円ですね。結構あの、かん、お安くラーメン楽しめるんじゃないかなって思いますけれども、いかがですかね？こういったお店は。,オペレーター: はい。えーとー、一応、営業時間が11時から19時で、えーとー、閉店日が一応、金曜日となっておりますので、このー…お気をつ、その曜日だけをお気を付けください。
オペレーター: はい。,オペレーター: じゃあ、一応ここも…。
オペレーター: そうですね。こちら、そういったご要望でしたら結構近いんじゃないかなと。ま、メニューもいくつかあるみたいですし。,カスタマー: はい。いいですね。
オペレーター: すごい大きなネズミ。,カスタマー: ああ、大きなネズミね。
オペレーター: までやってて、,オペレーター: ご旅行って週末にされますか？
オペレーター: ええ、そうですね。そうしますと、もう一箇所。,オペレーター: 諫早ゆうゆうランド干拓の里というのがございます。
オペレーター: はい、じゃ、ちょっと、ここも。,オペレーター: べ、べろべろになっちゃいそうな勢いの<>なんですけど。
オペレーター: こちらが、えーと、港で働く人が、えー、速く食べられるようにと考案された、呉の細うどんのお店となっております。,オペレーター: えー、のど越し抜群の、えー、自家製麺はしっかりコシもあり、独特の味わい、シンプルな、りゅううどん、370円、えーと。
オペレーター: え、こちらが、えー、天寿酒造株式会社…という、えー、酒造ですね。,オペレーター: で、こちらが…あ、すごいです、文政13年、1870年創業。
オペレーター: 或いはもっともう京都の中心部にしてしまうか、どっちがよろしいでしょうか？,カスタマー: そうですねあのー別に修学旅行生を見たくないって訳じゃなくって、あのー自分もやっぱりその子達がいるって事はたぶん私も昔こう修学旅行で訪れたような所が、あっ、被っちゃうかなーと思ったので。
オペレーター: ええ。,カスタマー: 親の都合で預けられたことがあって
オペレーター: あ、良かったです。,オペレーター: こちらがですね、あの、富沢遺跡というですね、遺跡が発見された場所で。はーい。
オペレーター: うーん、焼きラーメン、焼きそばみたいな感じですかね。,オペレーター: おそらくです。
オペレーター: はい。ええ。で、一応、あ、あのー、こちらがですね、あのー、JR千歳駅から車で25分ほどの場所にございます。,カスタマー: うーん、うんうんうん。
オペレーター: あ、そうですね、こちらー、あのー、えーと、そうですね、あの、公衆浴場となっておりますのでー、はい、はい、あの、この温泉施設でございますね。,カスタマー: あ、はい。施設自体がー、そういう、文化財にされてるという
オペレーター: こちらがまずオススメ…かなと。一軒目、一軒目、まずこちら、お伝えしておきます。,オペレーター: でー、えーとー。一応、二軒目なんですけどー。
オペレーター: で、おあと、あのー、お花とか好きなようであれば、この島にしか自生しないっていわれるタモトユリっていうお花があります。,オペレーター: こちら、この県の天然記念物になってます。
オペレーター: 一応行って決めるみたいな感じでいかがですか。,カスタマー: はい。はい。お願いします。
オペレーター: あとですね、えー、じっくり煮込んだラフテー、アグーのつくね。,オペレーター: とかあのー、残波ってご存知ですか？
オペレーター: では、いったん、あのー、どうしましょう、ちゅ、中国四国地方、九州沖縄地方、近畿とかあるんですけど。,オペレーター: どうしましょっか。
オペレーター: あの、タダで入って見て、見られるみたいな<>。,カスタマー: ああ、見られる、ギャラリー、なの？
オペレーター: あのー、民家を利用した隠れ家のようなっていうふうに書かれているので。,カスタマー: あ、じゃあ。
オペレーター: え、一応、施設は全面バリアフリー、になっておりますね。,カスタマー: ああー、それは行ったことないので、ちょっと面白そうですね。
オペレーター: こちらで載ってる、データで載ってる写真を見ると。,オペレーター: なんだろうな。
オペレーター: 刺身、ツワブキの佃煮、ヨモギのゼリー。,オペレーター: などが、ま、季節によって、ま、それではなかったりするんですけど、ま、一例として、そういったものが季節によっては出てくる。
オペレーター: こちらですかね？,カスタマー: そうですね。きっと、それですね。
オペレーター: あるいはですね、もう、デパートの方とかに行ってしまって、総合的にご覧になれるお店の方がいいか。,オペレーター: どういう感じがよろしいですかね。今さっきの感じですとステンドグラスのお店。
オペレーター: そちらが、えー、穀物シリョウで育てられた極上のグレインフェッドラム。,オペレーター: 札幌を代表するジンギスカン専門店。
オペレーター: はい,オペレーター: 次がですね
オペレーター: あと。,オペレーター: あとは、やっぱり、海産物が多い、牛タン。
オペレーター: それではですねー、,カスタマー: そんなものでいいですね、お土産は。
オペレーター: そうですか。しかもですね、お客様、東京と違うのが、わたくしちょっと気づいたんですけど、,オペレーター: 写真に載ってるネギがですね、青ネギなんですね。
オペレーター: えーとやっぱりそのー、史跡的な場所がー…、ご興味がある感じですかね、それともなんか、自然…スポットだったりビーチとか…、そういう場所にも、ご興味ございますかー？,オペレーター: あーそうですね、ちょっとー…。
オペレーター: こちら、マングローブ、マングローブパーク施設っていうのが近くにあって。,カスタマー: お、うん。
オペレーター: 黒毛和牛、熟成肉専門の焼肉店。,オペレーター: で、これがー、ま横浜、のお店なんですけど。グリルドエイジング、ん？、グリルドエイジングビーフ。
オペレーター: はい、かしこまりました。,オペレーター: はい、では、えー、読み上げます。
オペレーター: かしこまりました。ではですねー、,オペレーター: 次にご案内いたしますのが、 岩手県の雫石、でございますね。
オペレーター: あとは、何かあのー召し上がりたいものとか、あの買って帰りたいものとかーって、ございますか？,カスタマー: どうしようかなー、でもなあ。
オペレーター: こちら、そうですね。,オペレーター: 鳥取砂丘も近くにございますので、あの合わせて観光するのも、よろしいかと思います、はい。
オペレーター: おそらくはその。,カスタマー: なるほどなー。
オペレーター: えっとー、ぎゅう、琉球ガラスてぃだ工房ってところがあるんですけど。,カスタマー: あー、琉球ガラス。いいですね。
オペレーター: まあ運転で疲れて。,カスタマー: あー運転途中でもしあったら全然それもそれでいいかな。
オペレーター: はい。,オペレーター: あっ、カレーですか。
オペレーター: あるいは、あのこれ典型的かもしれないんですけれども、オランダ村でございますね。,オペレーター: 長崎オランダ村。そういったものもございますし、あるいは水族館系。
オペレーター: あの、じ、そこの人工ダムのしと、底に集落が沈んだみたいなんですね。,オペレーター: なんか、こう、たい、平清盛とかの、こう、伝説もあったりとかして。
オペレーター: で、もし、あのー、貸切風呂っていう形にするのであればー、お一人880円ですね。,カスタマー: うーん、なるほど。
オペレーター: ええ。で、お店の店構えもですね、あのー、沖縄らしい、あの、赤い瓦の建物となっておりまして。はい。,オペレーター: あのー、そうですね。で、こちらでですね、あのー、泡盛という沖縄のお酒ですね。はい。
オペレーター: あーそうですね、ちょっとー…。,オペレーター: 泳ぐ感じじゃないですよねー。
オペレーター: ええ、ええ。,オペレーター: はい、かしこまりました。では、岩手の、郷土料理で、よろしいでしょうか。
オペレーター: ただ、条件的には、さっきよりは、あの入れる時間っていうのが限られてまして。,オペレーター: 日の出から日没のカンシオから2時間後になってます。
オペレーター: えー、こちら、あの、わりとですね、仙台駅から、はい、近いところにございますので。,オペレーター: ええ、もし、あの、朝早く、はい。
オペレーター: こちらとか結構、京都ならではというか、この店でしか買えない。,オペレーター: チョコですので、いいんじゃないかなと思うんですけど。
オペレーター: はい、朝9時半から。,オペレーター: はい、夜の10時半までやっております。
オペレーター: うん。こちらでお土産を買わ、買われてもよろしいかと思います。,カスタマー: そうですね。ふーん。
オペレーター: ま、例えば自然スポットだったりとかー、他になんか行きたい場所だったりとかってー、あったりしますか？,オペレーター: あー、なるほど。<>
オペレーター: はい。,オペレーター: ボートがいいですか？
オペレーター: はい。こちらがですね。あ、元ですね、あのー、青果店。八百屋さんのー、あのー、店主がですね、自信を持っておすすめする13種類のフルーツパフェが人気でして。,オペレーター: あの、食べ頃を見極めた上質なフルーツが出されます。
オペレーター: じゃあ一応こちらもリストに…、あげておきますね。,オペレーター: はい、ではえーとこーちーら、かつ亭豊年という店で、えと一応営業時間についてお、お伝え致しますと、朝十時半から、っと夜の八時まで、やっておりますー。
オペレーター: はい。,オペレーター: はい。ただいまですね、えーと、調べましたところ、えーと例えばなんですけれども。お客様、夏頃に行かれますよね。はい。
オペレーター: あっ、本当ですか、こちらですね、シボウ千日前本店というところなんですね,カスタマー: うんうんうん、はい
オペレーター: こちらの情報ですと、あの、ヒマワリの見頃が7月の下旬。,オペレーター: から8月の上旬となっておりまして。
オペレーター: 初桜酒造株式会社さんというところがございましてー。,オペレーター: こちらがですね、えーとですね。あ、すごいですね、慶応2年…。
オペレーター: じゃあちょっと今、検索してみますね。,オペレーター: えーとー、ま、近くなんですけど、吉本興業の、っていうのでちょっと検索するとー、えーと、吉本<>漫才の<>若手ですね、若手が、の漫才師が中心に出演する吉本漫才劇場を備えたシアタービルっていうのがあるんですけれどもー、こういうのは実際に見るのは、ど、どうですか？
オペレーター: あのすぐ、と、すぐ近くのところにございまして。,オペレーター: で、こちらですと、なんか、ミニ、ミニグリコマン？フフ。
オペレーター: ちなみに、開花時期の5月の第3日曜日には、菜の花フェスティバルなんてゆーお祭りが、開催されるみたいで。,オペレーター: なんか、<>マラソン大会とかもあるみたい。
オペレーター: その、けっ渓谷ーが鳥取砂丘の近くにございますので、はい、あのー紅葉、紅葉など紅葉見ていただいて、あとそのー白兎神社ですね、あのー因幡の白兎で有名な白兎神社に行っていただいて、あとそのーJAのお土産屋さんで。,オペレーター: はい、そうですね。こういった感じでなかなか、かなり充実した。
オペレーター: はい。,オペレーター: 雫石スキー場での、スキーがまず一つ、でございますねー。
オペレーター: はい。ただ今お調べいたしております。少々お待ちください。,オペレーター: はい。ただ今でね、ただ今お調べいたしましたところ、えーとですね、あのー。
オペレーター: そういった灯台とかって興味あります？,オペレーター: 中がですね、入れるとは書いてなくてですね、データ上にちょっと載ってなくて、そちらご案内はちょっとできなくて申し訳ないんですけど。
オペレーター: じゃあオルゴールがアンの家ですね。,オペレーター: それと鈴廣のかまぼこ博物館。
オペレーター: こんにちはー。,オペレーター: えーとこの度はー、ご旅行のご相談ということでーお間違いないでしょうか？
オペレーター: で、日中は15分から20分間隔で運行しているみたいです。,オペレーター: で、一応、大正3年の噴火で、えー、大隅半島と陸続きとなっておりまして、島内には噴火を物語るヒセキが点在しています。なかでも、えー、黒神埋没鳥居は上部だけ残し火山灰や軽石に埋もれ、その噴火の大きさを感じさせられると書いてありますね、このなんか鳥居とかで検索するともしかして出てくるかもしれない、ちょっとこちら検索してみます、すいません。
オペレーター: 結構、近くに温泉とかもあるみたいで、そこですと、結構。,オペレーター: ジェットバスや、その源泉をそのまま利用した露天風呂とかも、あるみたいですね。
オペレーター: ではない？,カスタマー: そう。
オペレーター: はい、よろしくお願いします。,オペレーター: はい、で、この度は、えと、ご旅行のご相談ということでしたが、えーと、行先はもう、決まってらっしゃいますか？
オペレーター: アウトドアでちょっと調べてみますね。,カスタマー: あー、すいません。
オペレーター: あとトロッコ電車も。,オペレーター: 時折通るっぽくて。
オペレーター: はい。そうですね、和歌山城ございましてー。はい。こちらそうですね、和歌山市内にございます。はい。,オペレーター: で、最寄りがですね、あの、JR和歌山駅からバスで7分ほどとなっております。
オペレーター: 昆布だしのー、あの上品な深い味わい、となってます。,カスタマー: そ、それがいいわ、うん。
オペレーター: あとですね、えー知床で、えー、ままわってくと、知床まわってくと、あのー。,オペレーター: まちょっと休憩したくなると思うんで。
オペレーター: 1866年。,カスタマー: ん、うん…そうですよね、そのぐらいですよね。
オペレーター: とですね。,オペレーター: そうですね、ちょっと申し訳ないんですけれども。
オペレーター: えーと、牛じゃなくて馬に乗れるっていうの、あるんですけど。,カスタマー: おー。それもちょっと興味ありますね。
オペレーター: で、あ、ごめんなさい、あと季節なんですけど、季節って、おいく、お伺いしてましたっけ？,オペレーター: 行く季節。
オペレーター: じゃ一応これもメモしておきますね。,オペレーター: そうですね、ちょうどまぁ、うん。
オペレーター: 高松市の高松城ですね。えーと、こちらが、えーと、桃山時代から江戸時代にかけて、えー、松平家11代の藩主が居城とした、えー、高松城跡に設備された、あ、整備された公園となっております。,オペレーター: えー、三方の堀に海水を引き入れ、城の守りと水運を兼ねた、えー、全国でも珍しい水城となっております。
オペレーター: 船？,オペレーター: あー。なんか、すごくでっかい…。
オペレーター: <>じゃ、夕食がー、えーと、5000円から1万円ほどとゆう感じですが、大丈夫でしょうか？,カスタマー: 両親に払ってもらうので。
オペレーター: あるいはですねー、他には、,オペレーター: 長野の方ですねー、軽井沢スノーパーク
オペレーター: で、こちらがですね。,オペレーター: えーと、あ、JR函館駅徒歩1分となってますので、あの、割と入りやすいお店ですね。
オペレーター: あとは、あのー。,カスタマー: あ、やっぱり、こんなにあるんですね。
オペレーター: そうですよねー、ええ、冬はちょっとやめておいたほうがいいかもしれませんよね。,オペレーター: というのも、あのー、こちらのですねー、滝ですとー、11月の中旬から5月の下旬はですね、閉鎖されているようなんですね、やはりあの危ないんだと、うん。
オペレーター: で、その後でー、地元のお野菜を使った野菜の庄の家庭料理菜ぁでお昼ご飯をお召し上がりになって、で、菅家庭園でお庭をご覧になって、でその後、足湯カフェチットモッシェで、えーこちら、ええ、足湯に浸かりながらスイーツを食べて、そしてお夕食が寿司割烹鈴雅さん、で、地元のお魚のセットをお召し上がりになる。,オペレーター: で、お土産が大山に行ってお買い求めになるということでよろしいでしょうか。
オペレーター: そうですね、ただいま、ちょっとあの、こちら、なかなか出てこないですね、祭り、祭り…。,カスタマー: 祭り、お祭りが、な、もしあんまり、あれだったら、花火大会。フフフ。
オペレーター: あ、はいはいはい。,オペレーター: あー、はあ、そうですか、はい。
オペレーター: んーなんだろう、まぁそしたらちょっとバス関係なく、あの,カスタマー: ああ、はい
オペレーター: はいニューサマーオレンジジャムとか。,オペレーター: はい。ですねーニューサマーオレンジを、はい。
オペレーター: そうですと、まあちょっと奥深まった所になりますので。,オペレーター: まあ比較的少なくなるかなーという印象はございます。
オペレーター: で。,オペレーター: やってる時間が。
オペレーター: お客様はご旅行のご相談でよろしいでしょうか？,オペレーター: かしこまりました、ありがとうございます。
オペレーター: はい、あともう一つー、えーと、ご紹介させて頂くのがー、えーとこちらがージャズ喫茶SWINGというお店ー。,カスタマー: ジャズ喫茶…はい。
オペレーター: かまぼこはちょっとわからないんですけど。,カスタマー: わからない。
オペレーター: あと、テイクアウトもできますので、焼き菓子とか。はい。,カスタマー: あー、はい、はい。んー。
オペレーター: はい、こちらが、えー、アレイからすこじまとゆー場所で。,オペレーター: こちらが、呉市にある公園ですね。
オペレーター: ありがとうございます。,オペレーター: どちらへご旅行なさるかお考えはございますか？
オペレーター: してもらって。,オペレーター: ここのあの。
オペレーター: 五島列島だと、これかな、これ違うか、えーと、五島、五島列島だと、ちょっとなかなか出てこなくてですね。,オペレーター: 単純にその五島列島ってことであれば、えーと、出てはくるんですが、単純に五島列島の島の場所が出てくる形なので。
オペレーター: こんにちは、本日はご利用ありがとうございます。,カスタマー: あ、こんにちは。
オペレーター: えーとですね、あのー,オペレーター: どこか温泉でー
オペレーター: はい、あの、お写真を撮ることができるんですね。,オペレーター: はい。こちら、なかなか、あのー、なら、京都ならではの、はい、体験できる場所でございますのでー。
オペレーター: 対馬。,オペレーター: あ、えーと、あ、ごめんなさい、一個、島、えー、位置関係的に屋久島の左下ぐらい。
オペレーター: あ、はい。それでは、あのー、そうですね、じゃあ冬以外ということでー、はい、あのー、ちょっと調べてみ、あのー、はい。,オペレーター: あと他にですねー、そのー、しまなみ海道に行かれましてー、あと例えば他に観光したいですとかー、何か見てみたいですとかー、あのー、食べたりとかー、そういったご要望はございますか？
オペレーター: ちょっともつ鍋が出てこないですね。,オペレーター: はい、では、えーと、はい。
オペレーター: あっ。はい。<>。,カスタマー: あ、そちらも、ちょっと…、はい。
オペレーター: その、ちょっとあのー…そうなんですねー…こちらが、夏、夏で絞るとあれですね…こちら出ないですね。,カスタマー: 花火か、花火大会かなあ…。
オペレーター: こちらでよろしいですか？もうちょっと、あの。探してみましょうか？,カスタマー: ああ、はい。あ、いい、え…。
オペレーター: それがですね、ええ、あんまりですかね。,カスタマー: キラキラ
オペレーター: ええ。,オペレーター: そうですね。例えばですね、ま、映画の代わりになるかどうかは分からないんですけれどもー
オペレーター: で、まあちょっとお時間え、営業時間の中休みがあって。,オペレーター: えーと11時から14時。
オペレーター: あ、とか、屋台の、なんか、屋台がある通りとかが、ある場所とかありますね。,オペレーター: ま、こちらが。
オペレーター: なんか、そういった海産物だと思いますけれども。,オペレーター: 缶詰になってるらしいです。
オペレーター: そういったお料理がございます。,オペレーター: それで、ええ、本日のお魚からですね、2種類の選んでいただいて、2種類の、すいません、お魚がございまして。
オペレーター: うん。,オペレーター: あのーラーメンのあの売ってるお土産屋さんもございますね。はーい。
オペレーター: ご興味ありますか？,カスタマー: はい。いいですね。<>
オペレーター: じゃこちら、リストに加えさせていただいてもよろしいでしょうか？,オペレーター: はい、かしこまりました、じゃあちょっと営業時間を、えー、伝えさせていただきますと。
オペレーター: 申し訳ないんですが、また、次回の時に、はーい。,オペレーター: そうですね、また、ちょっと調べておいていただけると、助かりまーす。
オペレーター: ではー、お客様、そろそろスキーもやって、,オペレーター: 温泉も入って、お腹がすいてくる、お時間かなーという風に思うんですけれどもー、こちら、お食事の方、何かお考えですか。
