previous_operator_utterance,operator_utterance,customer_utterance
オペレーター: 別府ですね、別府で、えーと、お調べして、ちょっと有名かどうかこちらでは分かりかねるんですが、えーと、あ、ちなみに、どういった、あのー、景色いいとかがいいとか。,オペレーター: で、ちょっと宿だと、お調べしてわ、宿かどうかが分かりかねるので、えーと、ちょっといったん別府の温泉って形でお調べしまして、あのー、こちらき、ん、北浜温泉。,オペレーター: きた、北浜温泉テルマスっていうところがあるんですが、こちらがあのー、べっぷえふ、別府駅から東に1キロほど、ま、的ヶ浜、てきがはま、あのー、射的のてきにがはまっていう、まとがはまか、てきがはまか、公園脇にある、そのー、こちら市営温泉なんですけど、あのー、水着を着て野外で健康浴ができる。
オペレーター: 少々お待ちください。,オペレーター: あの、甘味でよろしいですよね。,オペレーター: 甘味処。
オペレーター: えーっと、じゃーちょっと、あのー、北海道で、あのー、ラベンダーって検索入れてみますね。,オペレーター: ラベンダーだと結構なかっ…食べ物、あっ。,オペレーター: ラベンダーがー、あのー、有名なのは、富良野のー公園が出てきてしまっているんですけれども、札幌からは離れているんですが、富良野も、いかがですかー？
オペレーター: ええ、ええ。ではお客様、こうするのはいかがでしょう。,オペレーター: お昼森の中で食べて、夕飯はシーサイドに食べるとか。,オペレーター: あるいはですね、まあお昼に海を見たほうが綺麗かもしれませんので、お昼はシーサイドのレストランを探して。
オペレーター: はい。こちらがですね。あ、元ですね、あのー、青果店。八百屋さんのー、あのー、店主がですね、自信を持っておすすめする13種類のフルーツパフェが人気でして。,オペレーター: あの、食べ頃を見極めた上質なフルーツが出されます。,オペレーター: はい、こちらなかなか、はい、よろしいかと思うんですけど。
オペレーター: はい、であのー、京都先斗町というところの、あの、入り口にございましてー。,オペレーター: はい。あの割と賑やかなところの、はい、お店の1つとなっております。,オペレーター: で、こちらですね、あのー、夕方6時からの営業となっておりますので。
オペレーター: いうので選べると思うんですけども、すごい日帰り。,オペレーター: あー、効能のほうが書かれてないですね。,オペレーター: 美肌効果があるとは書いて、あ。
オペレーター: うん、もつ鍋もございます。,オペレーター: で、おあと、まお酒も飲むっていうのであれば、えーおつまみとして辛子蓮根とか。,オペレーター: 明太子、などもあります。
オペレーター: こちらあの、お名前の方は聞いたことあります<>,オペレーター: ですよねー。ええ。私の方も初めて聞きまして、こちら、はっと鍋、,オペレーター: どういったものかと言いますとー、塩味で、魚介をふんだんに使った、お料理だそうでしてー、
オペレーター: あと、あとは、あのー、本当に、メインのたちゆ、立ち寄り湯みたいなところに。,オペレーター: 入るとか、行くとかっていうような感じで楽しめるんじゃないかなと思いますけれども。,オペレーター: いかがですかねー。
オペレーター: そうです、なんかちょっとこう、お食事だけじゃなくって、見たりとか、することもできるんではないかと<>,オペレーター: あ、はい、ありがとうございます。,オペレーター: あとはー、えーと、一応、えー、ロープウェイに乗ってー
オペレーター: であの、夜の18時以降であれば、700円で入ることはできます。,オペレーター: そうですね。夜は安くなります。,オペレーター: 21時ですから、9時までです。はい。
オペレーター: では、これでご案内のほう、終了させていただきます。,オペレーター: 本日は、ご利用いただきまして、ありがとうございます。,オペレーター: お客様、今日は、ご旅行のご相談でよろしいでしょうか。
オペレーター: はい。,オペレーター: あ、えーとね、それはアイスクリームなんですけど。,オペレーター: はい。スノーロイヤルというアイスクリームが790円で。
オペレーター: ですね、で、えーと、もうひとつ目が、こちらがちょっと島、離島になるんですけど。,オペレーター: ナガンヌ島って、ご存知でしょうか？,オペレーター: ええ、ええ、こちらナガンヌ島という、もう、本当にあのビーチしかないぐらいの、すごいせ、小さい、島になってまして。
オペレーター: あのー,オペレーター: そうですねー。,オペレーター: あの
オペレーター: はい。,オペレーター: えっと、季節的にはー、は、春とか夏とか、何か。,オペレーター: じゃあ、春ということでー<>させていただきますね。
オペレーター: あの、風景地のうち、つつじが丘及び天神の句と、書かれておりまして。,オペレーター: ええ、あのー、奥の細道に馴染みのある、あの、公園みたいですね。,オペレーター: ですよね。
オペレーター: はーい。,オペレーター: 牡蠣…。,オペレーター: はい、そうですね、例えばなんですけれども、はい。
オペレーター: はい。,オペレーター: はい。,カスタマー: あのー
オペレーター: あとなんか、その、昭和レトロ商店街というところもございまして。,オペレーター: ええ。こちらはなんかあの、見た目がですね、昭和チックなお店で。,オペレーター: ええ。梅田スカイビル、地下1階にございましてー。
オペレーター: そうですねー、こちら、えー、気仙沼駅からは、まあ、近いんで電車で、まあ、仙台から行けばある程度は簡単なんですけれども、ただ仙台自体からは場所は離れておりますので<>,オペレーター: そうです、ですので、お客様が、もしですね、短めのお時間で温泉をお楽しみいただける場所をお探しでしたら、先ほどの市太郎の湯の方がいいかなあという気がいたします。,オペレーター: はい、左様でございます。もう少し詳しいことをお話いたしましょうか。
オペレーター: はい。あとそうですね、あのー、他にもあるんですけど。,オペレーター: 大阪、大阪のほうにもですね、あのー、串カツ屋さんがあるんですけれども、そちらも調べてみましょうか？,オペレーター: はい、お待たせいたしております。少々お待ちください。
オペレーター: はいはいはい。,オペレーター: なるほどなるほど。,オペレーター: 教室的な場所ですと。
オペレーター: ちょっと場所が変わってしまうんですけど、場所と料理が変わってしまうんですが。,オペレーター: えー、山菜料理のお店がありまして。,オペレーター: えーとこちら、地元で採れたコメナスの田楽や、ヤマメの塩焼き。
オペレーター: えっとー、いろんなものが食べられるっていうところでは、ちょっとこうバラエティに富んだレストランっていう感じなんですけど。,オペレーター: ではないと思います、レストランと書かれておりますので、はい。,オペレーター: あのーちょっと、えー、懐石とか言っても、あのーホテルの中にあるあのーレストランっていった雰囲気ですかね。
オペレーター: あの、ウォーキングコース、島に渡ってから、はい、約6、あ、そうですねあのウォーキングコースがございまして、はい。,オペレーター: 散策するような感じとなっております。はい、ご興味ございますか？,カスタマー: はい、楽しそうですね。
オペレーター: はい、ではですね、こちら例えば、,オペレーター: 法善寺横丁やき然というお店がございまして、,カスタマー: はい、うんうん、はい。
オペレーター: そうですね、おそらくそうですね、で、こちら別府湾に、あの、面してるので、別府湾が見えます、あの、入ってるところから。,オペレーター: はい、じゃあこちらも、こちらメモします。,オペレーター: じゃあ、今、えーと、ちゃんぽん、井出ちゃんぽんさんと、こちらの北浜温泉をメモしてるんですが、漏れってありました？今までの。
オペレーター: 温泉かけ流し…。,オペレーター: はい。,オペレーター: そうですね、ただいま調べましたところ。
オペレーター: うーん、ちょっと船だと出てこないんですけど。,オペレーター: うーん、,オペレーター: 遊ぶとなると。
オペレーター: まあ、あの京都ですので、なんか日本画とかお茶とかってものが、結構多いですよね。,オペレーター: うーん。,オペレーター: はい。現代アートの。
オペレーター: はい。,オペレーター: あ、はいはい。,オペレーター: はい、アスレチックですね。
オペレーター: はい。あと氣多大社。,オペレーター: はい。,カスタマー: ほ、ほう。
オペレーター: こんにちは。,オペレーター: 本日はご利用いただきましてありがとうございます。,オペレーター: えっと、ご旅行の予定とゆーか、あの、どちらの方面に行きたいとか、あの、ございます、か？
オペレーター: ここら辺をちょっと散策していただきたい、行ければ、楽しいかなと思うんですけれども。,オペレーター: 一応、えっと、営業時間が、あの、朝の9時から17時までで、やっぱりこちらは火曜日がお休みでございます。でー、火曜日がもし祝日の場合は翌日がお休みで、入園は無料となっていますので、もしあのちょっと気に入らなければ、そのままもうすぐ出てしまっても、あの、お金かからないので、あの、楽しめると思いますので。,オペレーター: あ、あのー、船か、渡し船か、あとなんか、橋があるっていう風にさっき書いてありました。
オペレーター: まあ龍、あのー…、ドラゴンの龍に、譚が…。,オペレーター: スーッ。,オペレーター: なんという字なん…、ちょっとあの…、説明出来ないんですけどー、まあこちらが。
オペレーター: チーズのコクがあとをひく傑作メニューだそうで,オペレーター: しかもですね、こちら鶏ガラとか牛乳とか27種類の生地、まぁ材料<>で生地を作っていると,オペレーター: しかもその、なんていうんでしょうか、あのーおいしければいいと思うんですけれども、ちょっと冒険になってしまいますよね
オペレーター: うんうん。,オペレーター: そうですね。海産物と日本酒もすごい合いますもんね、食べ物として。,オペレーター: そしたらじゃあやっぱり、秋田県で…。
オペレーター: はい、ではこちらも一応ピックアップしておきますか？,オペレーター: ではちょっと、お酒についての記載が特に書いてないんですけど、おそらく、まあでも、夜…。,カスタマー: まあ、ある、あるでしょうね、<>。
オペレーター: はい、あっはい、かしこまりました。,オペレーター: はい、はい、ただいまお調べいたしまーす。,オペレーター: はい、お客様、あのー九州なんですけれども、例えば九州のどのあたりとかそういったご要望はございますか？
オペレーター: はい、ただいまちょっとお調べしますので少々お待ちください。,オペレーター: はい、大変お待たせ致しました。ただいまですね、あの、お調べしましたところー、美濃山温泉館というところがございましてー、はい,オペレーター: こちらはですねー、あのー、広島市内にございます。
オペレーター: はい。,オペレーター: なんか、ここは、あの、カキと魚貝のワイン酒場みたいな感じなんですけど。,オペレーター: ねー。
オペレーター: えー、瀬戸内海のサンセットを眺めながら、えー、贅沢にディナーを楽しめるとゆう、のが売りのお店となっております。,オペレーター: <>、えー、内容は瀬戸ないの、えあ、瀬戸内の食材を活かしながら細部までこだわった、えー、かなり綺麗な感じのコース料理を、いただけるレストランとなっております。,オペレーター: こちら、えっと、ビルの上にありますので、結構えーと、高松市の夜景なども、楽しめ<>れるような感じとなっております。
オペレーター: 結構あの、コクがある、あのー、麺によく絡むスープですって書いてあります。,オペレーター: ね。ラーメンは630円ですね。結構あの、かん、お安くラーメン楽しめるんじゃないかなって思いますけれども、いかがですかね？こういったお店は。,オペレーター: はい。えーとー、一応、営業時間が11時から19時で、えーとー、閉店日が一応、金曜日となっておりますので、このー…お気をつ、その曜日だけをお気を付けください。
オペレーター: はーい。,オペレーター: はい。,オペレーター: じゃあ、一応ここも…。
オペレーター: はい、はい。はい。,オペレーター: そうですね。こちら、そういったご要望でしたら結構近いんじゃないかなと。ま、メニューもいくつかあるみたいですし。,カスタマー: はい。いいですね。
オペレーター: はい。,オペレーター: すごい大きなネズミ。,カスタマー: ああ、大きなネズミね。
オペレーター: 一応こちらのお店がえーと17時から22時半,オペレーター: までやってて、,オペレーター: ご旅行って週末にされますか？
オペレーター: はい。ではオランダ村のようなですね、あのオランダを再現したような場所だと、アトラクションとかはないので、あまりという感じですもんね。,オペレーター: ええ、そうですね。そうしますと、もう一箇所。,オペレーター: 諫早ゆうゆうランド干拓の里というのがございます。
オペレーター: しゃぶしゃぶですか?,オペレーター: はい、じゃ、ちょっと、ここも。,オペレーター: べ、べろべろになっちゃいそうな勢いの<>なんですけど。
オペレーター: こちらが、ま、りゅう、ひらがなで、りゅうとゆー。,オペレーター: こちらが、えーと、港で働く人が、えー、速く食べられるようにと考案された、呉の細うどんのお店となっております。,オペレーター: えー、のど越し抜群の、えー、自家製麺はしっかりコシもあり、独特の味わい、シンプルな、りゅううどん、370円、えーと。
オペレーター: はい、かしこまりました。えーと、一応、酒造がもうひとつ、えー、秋田県でヒットしてまして。,オペレーター: え、こちらが、えー、天寿酒造株式会社…という、えー、酒造ですね。,オペレーター: で、こちらが…あ、すごいです、文政13年、1870年創業。
オペレーター: まあ比較的少なくなるかなーという印象はございます。,オペレーター: 或いはもっともう京都の中心部にしてしまうか、どっちがよろしいでしょうか？,カスタマー: そうですねあのー別に修学旅行生を見たくないって訳じゃなくって、あのー自分もやっぱりその子達がいるって事はたぶん私も昔こう修学旅行で訪れたような所が、あっ、被っちゃうかなーと思ったので。
オペレーター: ええ。,オペレーター: ええ。,カスタマー: 親の都合で預けられたことがあって
オペレーター: ええ、ええ。,オペレーター: あ、良かったです。,オペレーター: こちらがですね、あの、富沢遺跡というですね、遺跡が発見された場所で。はーい。
オペレーター: ちょっとこちらで写真も載ってなくて確認ができないんですけど。,オペレーター: うーん、焼きラーメン、焼きそばみたいな感じですかね。,オペレーター: おそらくです。
オペレーター: はい。あの、こういった場所もございます。,オペレーター: はい。ええ。で、一応、あ、あのー、こちらがですね、あのー、JR千歳駅から車で25分ほどの場所にございます。,カスタマー: うーん、うんうんうん。
オペレーター: で、こちらがですねー、あのー、建物は小さいんですけれどもー、あのー、国の重要ミンケイ文化財にも指定されて、おりますー。,オペレーター: あ、そうですね、こちらー、あのー、えーと、そうですね、あの、公衆浴場となっておりますのでー、はい、はい、あの、この温泉施設でございますね。,カスタマー: あ、はい。施設自体がー、そういう、文化財にされてるという
オペレーター: まあ…、沖縄そばとか、ま…、その場の…、食べ物も食べられると思うので。,オペレーター: こちらがまずオススメ…かなと。一軒目、一軒目、まずこちら、お伝えしておきます。,オペレーター: でー、えーとー。一応、二軒目なんですけどー。
オペレーター: で、こちらの島の奥深くの原生林には世界的にも珍しい純血種の黒毛和牛、野生牛が見られる。,オペレーター: で、おあと、あのー、お花とか好きなようであれば、この島にしか自生しないっていわれるタモトユリっていうお花があります。,オペレーター: こちら、この県の天然記念物になってます。
オペレーター: まあ体験したければ体験もございますので。,オペレーター: 一応行って決めるみたいな感じでいかがですか。,カスタマー: はい。はい。お願いします。
オペレーター: で。,オペレーター: あとですね、えー、じっくり煮込んだラフテー、アグーのつくね。,オペレーター: とかあのー、残波ってご存知ですか？
オペレーター: 南で。,オペレーター: では、いったん、あのー、どうしましょう、ちゅ、中国四国地方、九州沖縄地方、近畿とかあるんですけど。,オペレーター: どうしましょっか。
オペレーター: 見るんですね。,オペレーター: あの、タダで入って見て、見られるみたいな<>。,カスタマー: ああ、見られる、ギャラリー、なの？
オペレーター: えーと、ここには、あのー、書いてはないんですけれども。,オペレーター: あのー、民家を利用した隠れ家のようなっていうふうに書かれているので。,カスタマー: あ、じゃあ。
オペレーター: でこちら、ロープウェイ、が、ございまして、こちら乗り継いで、えっとー、山頂展望台の方に向かって、えー、登って行くような、まあ、アトラクションといいますか、まあ、アクティビティが楽しめる場所となってますね。,オペレーター: え、一応、施設は全面バリアフリー、になっておりますね。,カスタマー: ああー、それは行ったことないので、ちょっと面白そうですね。
オペレーター: ちょっとですね、細かい写真は見れないんですけど、えっと。,オペレーター: こちらで載ってる、データで載ってる写真を見ると。,オペレーター: なんだろうな。
オペレーター: で、えー、トビウオの姿揚げ。,オペレーター: 刺身、ツワブキの佃煮、ヨモギのゼリー。,オペレーター: などが、ま、季節によって、ま、それではなかったりするんですけど、ま、一例として、そういったものが季節によっては出てくる。
オペレーター: 幹の先端は白骨化しており、樹上にはヤマグルマやヒノキなどが着床している。,オペレーター: こちらですかね？,カスタマー: そうですね。きっと、それですね。
オペレーター: で、そういったお店がいいか、あるいはまあカステラのような、えーまあ長崎の名物のお店がいいか。,オペレーター: あるいはですね、もう、デパートの方とかに行ってしまって、総合的にご覧になれるお店の方がいいか。,オペレーター: どういう感じがよろしいですかね。今さっきの感じですとステンドグラスのお店。
オペレーター: でえーと、大通りジンギスカンっていうお店があるんですけど。,オペレーター: そちらが、えー、穀物シリョウで育てられた極上のグレインフェッドラム。,オペレーター: 札幌を代表するジンギスカン専門店。
オペレーター: 次のものをご案内してもよろしいですか？,オペレーター: はい,オペレーター: 次がですね
オペレーター: そうですね、面白そうですね。,オペレーター: あと。,オペレーター: あとは、やっぱり、海産物が多い、牛タン。
オペレーター: ありがとうございます。,オペレーター: それではですねー、,カスタマー: そんなものでいいですね、お土産は。
オペレーター: そういうイメージですかお客様。,オペレーター: そうですか。しかもですね、お客様、東京と違うのが、わたくしちょっと気づいたんですけど、,オペレーター: 写真に載ってるネギがですね、青ネギなんですね。
オペレーター: そうですね。,オペレーター: えーとやっぱりそのー、史跡的な場所がー…、ご興味がある感じですかね、それともなんか、自然…スポットだったりビーチとか…、そういう場所にも、ご興味ございますかー？,オペレーター: あーそうですね、ちょっとー…。
オペレーター: そのマングローブの、えー、マングローブが出てきたんですけども。,オペレーター: こちら、マングローブ、マングローブパーク施設っていうのが近くにあって。,カスタマー: お、うん。
オペレーター: えーと。,オペレーター: 黒毛和牛、熟成肉専門の焼肉店。,オペレーター: で、これがー、ま横浜、のお店なんですけど。グリルドエイジング、ん？、グリルドエイジングビーフ。
オペレーター: こちらも一応。電話番号お伝えいたしましょうか？,オペレーター: はい、かしこまりました。,オペレーター: はい、では、えー、読み上げます。
オペレーター: ええ。,オペレーター: かしこまりました。ではですねー、,オペレーター: 次にご案内いたしますのが、 岩手県の雫石、でございますね。
オペレーター: そうですね、なんか、いい、なんか雰囲気が贅沢ですよねー。,オペレーター: あとは、何かあのー召し上がりたいものとか、あの買って帰りたいものとかーって、ございますか？,カスタマー: どうしようかなー、でもなあ。
オペレーター: はい。,オペレーター: こちら、そうですね。,オペレーター: 鳥取砂丘も近くにございますので、あの合わせて観光するのも、よろしいかと思います、はい。
オペレーター: 昼間しかやってないんですよ。,オペレーター: おそらくはその。,カスタマー: なるほどなー。
オペレーター: あー一応ガラス細工みたいな所もあるんですけれども。,オペレーター: えっとー、ぎゅう、琉球ガラスてぃだ工房ってところがあるんですけど。,カスタマー: あー、琉球ガラス。いいですね。
オペレーター: 足湯とかはどうですか？,オペレーター: まあ運転で疲れて。,カスタマー: あー運転途中でもしあったら全然それもそれでいいかな。
オペレーター: ご、ご夕食の、候補で。,オペレーター: はい。,オペレーター: あっ、カレーですか。
オペレーター: で、どういったテーマパークがお好きとかありますか？例えばアトラクションに乗るような場所か。,オペレーター: あるいは、あのこれ典型的かもしれないんですけれども、オランダ村でございますね。,オペレーター: 長崎オランダ村。そういったものもございますし、あるいは水族館系。
オペレーター: ここは、あのー、すごく、あの、芝が張ってある丘があって、湖があってっていう感じで、とてもきれいなところなんですけれども。あのー、なんか、えー、平成15年に完成した世増ダムっていうところ、人工ダムなんですけれども。,オペレーター: あの、じ、そこの人工ダムのしと、底に集落が沈んだみたいなんですね。,オペレーター: なんか、こう、たい、平清盛とかの、こう、伝説もあったりとかして。
オペレーター: あ、にゅ、入園料っていうか、ごめんなさい、入浴料が、大人、大人が440円。,オペレーター: で、もし、あのー、貸切風呂っていう形にするのであればー、お一人880円ですね。,カスタマー: うーん、なるほど。
オペレーター: こちらはですね、あのー、創業77年の老舗のお店、沖縄料理店となっておりまして、はい。,オペレーター: ええ。で、お店の店構えもですね、あのー、沖縄らしい、あの、赤い瓦の建物となっておりまして。はい。,オペレーター: あのー、そうですね。で、こちらでですね、あのー、泡盛という沖縄のお酒ですね。はい。
オペレーター: えーとやっぱりそのー、史跡的な場所がー…、ご興味がある感じですかね、それともなんか、自然…スポットだったりビーチとか…、そういう場所にも、ご興味ございますかー？,オペレーター: あーそうですね、ちょっとー…。,オペレーター: 泳ぐ感じじゃないですよねー。
オペレーター: 温泉も入って、お腹がすいてくる、お時間かなーという風に思うんですけれどもー、こちら、お食事の方、何かお考えですか。,オペレーター: ええ、ええ。,オペレーター: はい、かしこまりました。では、岩手の、郷土料理で、よろしいでしょうか。
オペレーター: で、えーっと。,オペレーター: ただ、条件的には、さっきよりは、あの入れる時間っていうのが限られてまして。,オペレーター: 日の出から日没のカンシオから2時間後になってます。
オペレーター: 朝の<>から、はい、やっている感じのお店では、ございますけれども。,オペレーター: えー、こちら、あの、わりとですね、仙台駅から、はい、近いところにございますので。,オペレーター: ええ、もし、あの、朝早く、はい。
オペレーター: マダガスカル産のカカオに、え、北海道産の昆布だしを加えて深いコクを生み出した、えーと、あっという間に人気商品になった、ま、ヒット作もあるみたいですね。,オペレーター: こちらとか結構、京都ならではというか、この店でしか買えない。,オペレーター: チョコですので、いいんじゃないかなと思うんですけど。
オペレーター: あ、はい、さようございます。,オペレーター: はい、朝9時半から。,オペレーター: はい、夜の10時半までやっております。
オペレーター: うん。こちらもたくさん、あの、売っておりますので。はい。,オペレーター: うん。こちらでお土産を買わ、買われてもよろしいかと思います。,カスタマー: そうですね。ふーん。
オペレーター: それか、ま、全然違うなんか,オペレーター: ま、例えば自然スポットだったりとかー、他になんか行きたい場所だったりとかってー、あったりしますか？,オペレーター: あー、なるほど。<>
オペレーター: そうですね、あのーなんか、潟って書いてあるので海ですね。,オペレーター: はい。,オペレーター: ボートがいいですか？
オペレーター: はい、はい。えーと、フルーツバスケットというお店がございます。,オペレーター: はい。こちらがですね。あ、元ですね、あのー、青果店。八百屋さんのー、あのー、店主がですね、自信を持っておすすめする13種類のフルーツパフェが人気でして。,オペレーター: あの、食べ頃を見極めた上質なフルーツが出されます。
